timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:32:31.557, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:32:31.557, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:32:31.557, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/05 23:32:31.558, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:32:41.559, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:32:41.559, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:32:41.559, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:32:41.559, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 23:32:51.560, 0, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:32:51.560, 1, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:32:51.560, 2, NVIDIA L40S, 0 %, 25123 MiB
2026/09/05 23:32:51.561, 3, NVIDIA L40S, 0 %, 25125 MiB
2026/09/05 23:33:01.561, 0, NVIDIA L40S, 70 %, 25223 MiB
2026/09/05 23:33:01.561, 1, NVIDIA L40S, 71 %, 25225 MiB
2026/09/05 23:33:01.562, 2, NVIDIA L40S, 72 %, 25223 MiB
2026/09/05 23:33:01.562, 3, NVIDIA L40S, 67 %, 25223 MiB
2026/09/05 23:33:11.562, 0, NVIDIA L40S, 63 %, 25225 MiB
2026/09/05 23:33:11.562, 1, NVIDIA L40S, 58 %, 25225 MiB
2026/09/05 23:33:11.562, 2, NVIDIA L40S, 71 %, 25225 MiB
2026/09/05 23:33:11.563, 3, NVIDIA L40S, 74 %, 25227 MiB
2026/09/05 23:33:21.563, 0, NVIDIA L40S, 75 %, 25227 MiB
2026/09/05 23:33:21.563, 1, NVIDIA L40S, 73 %, 25225 MiB
2026/09/05 23:33:21.563, 2, NVIDIA L40S, 70 %, 25227 MiB
2026/09/05 23:33:21.564, 3, NVIDIA L40S, 63 %, 25227 MiB
2026/09/05 23:33:31.564, 0, NVIDIA L40S, 68 %, 25227 MiB
2026/09/05 23:33:31.564, 1, NVIDIA L40S, 67 %, 25225 MiB
2026/09/05 23:33:31.564, 2, NVIDIA L40S, 67 %, 25227 MiB
2026/09/05 23:33:31.565, 3, NVIDIA L40S, 70 %, 25227 MiB
2026/09/05 23:33:41.565, 0, NVIDIA L40S, 73 %, 25227 MiB
2026/09/05 23:33:41.565, 1, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:33:41.565, 2, NVIDIA L40S, 60 %, 25227 MiB
2026/09/05 23:33:41.566, 3, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:33:51.566, 0, NVIDIA L40S, 68 %, 25227 MiB
2026/09/05 23:33:51.567, 1, NVIDIA L40S, 62 %, 25227 MiB
2026/09/05 23:33:51.567, 2, NVIDIA L40S, 60 %, 25227 MiB
2026/09/05 23:33:51.567, 3, NVIDIA L40S, 73 %, 25227 MiB
2026/09/05 23:34:01.568, 0, NVIDIA L40S, 64 %, 25227 MiB
2026/09/05 23:34:01.568, 1, NVIDIA L40S, 61 %, 25227 MiB
2026/09/05 23:34:01.568, 2, NVIDIA L40S, 66 %, 25227 MiB
2026/09/05 23:34:01.568, 3, NVIDIA L40S, 64 %, 25227 MiB
2026/09/05 23:34:11.569, 0, NVIDIA L40S, 74 %, 25227 MiB
2026/09/05 23:34:11.569, 1, NVIDIA L40S, 63 %, 25227 MiB
2026/09/05 23:34:11.569, 2, NVIDIA L40S, 69 %, 25227 MiB
2026/09/05 23:34:11.570, 3, NVIDIA L40S, 66 %, 25227 MiB
2026/09/05 23:34:21.570, 0, NVIDIA L40S, 62 %, 25227 MiB
2026/09/05 23:34:21.571, 1, NVIDIA L40S, 66 %, 25227 MiB
2026/09/05 23:34:21.571, 2, NVIDIA L40S, 68 %, 25227 MiB
2026/09/05 23:34:21.571, 3, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:34:31.572, 0, NVIDIA L40S, 69 %, 25227 MiB
2026/09/05 23:34:31.572, 1, NVIDIA L40S, 74 %, 25227 MiB
2026/09/05 23:34:31.572, 2, NVIDIA L40S, 67 %, 25227 MiB
2026/09/05 23:34:31.572, 3, NVIDIA L40S, 67 %, 25227 MiB
2026/09/05 23:34:41.573, 0, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:34:41.573, 1, NVIDIA L40S, 72 %, 25227 MiB
2026/09/05 23:34:41.573, 2, NVIDIA L40S, 70 %, 25227 MiB
2026/09/05 23:34:41.573, 3, NVIDIA L40S, 72 %, 25227 MiB
2026/09/05 23:34:51.574, 0, NVIDIA L40S, 60 %, 25227 MiB
2026/09/05 23:34:51.574, 1, NVIDIA L40S, 72 %, 25227 MiB
2026/09/05 23:34:51.575, 2, NVIDIA L40S, 72 %, 25227 MiB
2026/09/05 23:34:51.575, 3, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:35:01.576, 0, NVIDIA L40S, 63 %, 25227 MiB
2026/09/05 23:35:01.576, 1, NVIDIA L40S, 59 %, 25227 MiB
2026/09/05 23:35:01.576, 2, NVIDIA L40S, 59 %, 25227 MiB
2026/09/05 23:35:01.576, 3, NVIDIA L40S, 68 %, 25227 MiB
2026/09/05 23:35:11.577, 0, NVIDIA L40S, 61 %, 25227 MiB
2026/09/05 23:35:11.577, 1, NVIDIA L40S, 56 %, 25227 MiB
2026/09/05 23:35:11.577, 2, NVIDIA L40S, 61 %, 25227 MiB
2026/09/05 23:35:11.577, 3, NVIDIA L40S, 68 %, 25227 MiB
2026/09/05 23:35:21.578, 0, NVIDIA L40S, 61 %, 25227 MiB
2026/09/05 23:35:21.579, 1, NVIDIA L40S, 71 %, 25227 MiB
2026/09/05 23:35:21.579, 2, NVIDIA L40S, 64 %, 25227 MiB
2026/09/05 23:35:21.579, 3, NVIDIA L40S, 69 %, 25227 MiB
2026/09/05 23:35:31.580, 0, NVIDIA L40S, 59 %, 25227 MiB
2026/09/05 23:35:31.580, 1, NVIDIA L40S, 69 %, 25227 MiB
2026/09/05 23:35:31.580, 2, NVIDIA L40S, 66 %, 25227 MiB
