timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 01:40:17.964, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:40:17.965, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 01:40:17.965, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:40:17.965, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 01:40:27.967, 0, NVIDIA L40S, 0 %, 793 MiB
2026/09/06 01:40:27.967, 1, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 01:40:27.967, 2, NVIDIA L40S, 0 %, 793 MiB
2026/09/06 01:40:27.967, 3, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 01:40:37.968, 0, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 01:40:37.968, 1, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 01:40:37.968, 2, NVIDIA L40S, 0 %, 6181 MiB
2026/09/06 01:40:37.968, 3, NVIDIA L40S, 0 %, 6181 MiB
2026/09/06 01:40:47.969, 0, NVIDIA L40S, 0 %, 795 MiB
2026/09/06 01:40:47.969, 1, NVIDIA L40S, 24 %, 16827 MiB
2026/09/06 01:40:47.969, 2, NVIDIA L40S, 60 %, 6489 MiB
2026/09/06 01:40:47.969, 3, NVIDIA L40S, 88 %, 7937 MiB
2026/09/06 01:40:57.970, 0, NVIDIA L40S, 0 %, 22303 MiB
2026/09/06 01:40:57.971, 1, NVIDIA L40S, 84 %, 22591 MiB
2026/09/06 01:40:57.971, 2, NVIDIA L40S, 68 %, 8097 MiB
2026/09/06 01:40:57.971, 3, NVIDIA L40S, 84 %, 8097 MiB
2026/09/06 01:41:07.972, 0, NVIDIA L40S, 64 %, 24059 MiB
2026/09/06 01:41:07.972, 1, NVIDIA L40S, 80 %, 24219 MiB
2026/09/06 01:41:07.972, 2, NVIDIA L40S, 91 %, 8097 MiB
2026/09/06 01:41:07.972, 3, NVIDIA L40S, 65 %, 8097 MiB
2026/09/06 01:41:17.973, 0, NVIDIA L40S, 64 %, 24219 MiB
2026/09/06 01:41:17.973, 1, NVIDIA L40S, 50 %, 24219 MiB
2026/09/06 01:41:17.973, 2, NVIDIA L40S, 91 %, 8097 MiB
2026/09/06 01:41:17.973, 3, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:41:27.974, 0, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:41:27.975, 1, NVIDIA L40S, 89 %, 24219 MiB
2026/09/06 01:41:27.975, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:41:27.975, 3, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:41:37.976, 0, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:41:37.976, 1, NVIDIA L40S, 86 %, 24219 MiB
2026/09/06 01:41:37.976, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:41:37.976, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:41:47.977, 0, NVIDIA L40S, 94 %, 24219 MiB
2026/09/06 01:41:47.977, 1, NVIDIA L40S, 85 %, 24219 MiB
2026/09/06 01:41:47.977, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:41:47.977, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:41:57.978, 0, NVIDIA L40S, 65 %, 24219 MiB
2026/09/06 01:41:57.979, 1, NVIDIA L40S, 87 %, 24219 MiB
2026/09/06 01:41:57.979, 2, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:41:57.979, 3, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:42:07.980, 0, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:42:07.980, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:42:07.980, 2, NVIDIA L40S, 95 %, 8097 MiB
2026/09/06 01:42:07.980, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:42:17.981, 0, NVIDIA L40S, 92 %, 24219 MiB
2026/09/06 01:42:17.981, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:42:17.981, 2, NVIDIA L40S, 95 %, 8097 MiB
2026/09/06 01:42:17.981, 3, NVIDIA L40S, 89 %, 8097 MiB
2026/09/06 01:42:27.982, 0, NVIDIA L40S, 93 %, 24219 MiB
2026/09/06 01:42:27.983, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:42:27.983, 2, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:42:27.983, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:42:37.984, 0, NVIDIA L40S, 0 %, 24219 MiB
2026/09/06 01:42:37.984, 1, NVIDIA L40S, 64 %, 24219 MiB
2026/09/06 01:42:37.984, 2, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:42:37.984, 3, NVIDIA L40S, 92 %, 8097 MiB
2026/09/06 01:42:47.985, 0, NVIDIA L40S, 94 %, 24219 MiB
2026/09/06 01:42:47.985, 1, NVIDIA L40S, 86 %, 24219 MiB
2026/09/06 01:42:47.985, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:42:47.985, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:42:57.986, 0, NVIDIA L40S, 94 %, 24219 MiB
2026/09/06 01:42:57.986, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:42:57.987, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:42:57.987, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:43:07.988, 0, NVIDIA L40S, 91 %, 24219 MiB
2026/09/06 01:43:07.988, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:43:07.988, 2, NVIDIA L40S, 93 %, 8097 MiB
2026/09/06 01:43:07.988, 3, NVIDIA L40S, 92 %, 8097 MiB
2026/09/06 01:43:17.989, 0, NVIDIA L40S, 94 %, 24219 MiB
2026/09/06 01:43:17.989, 1, NVIDIA L40S, 87 %, 24219 MiB
2026/09/06 01:43:17.989, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:43:17.989, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:43:27.990, 0, NVIDIA L40S, 93 %, 24219 MiB
2026/09/06 01:43:27.990, 1, NVIDIA L40S, 87 %, 24219 MiB
2026/09/06 01:43:27.991, 2, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:43:27.991, 3, NVIDIA L40S, 94 %, 8097 MiB
2026/09/06 01:43:37.992, 0, NVIDIA L40S, 91 %, 24219 MiB
2026/09/06 01:43:37.992, 1, NVIDIA L40S, 88 %, 24219 MiB
2026/09/06 01:43:37.992, 2, NVIDIA L40S, 1 %, 8097 MiB
2026/09/06 01:43:37.992, 3, NVIDIA L40S, 0 %, 8097 MiB
2026/09/06 01:43:47.993, 0, NVIDIA L40S, 93 %, 24219 MiB
2026/09/06 01:43:47.993, 1, NVIDIA L40S, 87 %, 24219 MiB
2026/09/06 01:43:47.993, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:43:47.993, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:43:57.994, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:43:57.994, 1, NVIDIA L40S, 7 %, 24219 MiB
2026/09/06 01:43:57.995, 2, NVIDIA L40S, 0 %, 3 MiB
