timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:57:20.015, 0, NVIDIA L40S, 1 %, 0 MiB
2026/09/05 23:57:20.015, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:57:20.015, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:57:20.016, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 23:57:30.017, 0, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:57:30.017, 1, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:57:30.017, 2, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:57:30.017, 3, NVIDIA L40S, 0 %, 493 MiB
2026/09/05 23:57:40.018, 0, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:40.018, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:40.018, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:40.019, 3, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:50.019, 0, NVIDIA L40S, 37 %, 893 MiB
2026/09/05 23:57:50.019, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:50.020, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:57:50.020, 3, NVIDIA L40S, 38 %, 625 MiB
2026/09/05 23:58:00.021, 0, NVIDIA L40S, 34 %, 893 MiB
2026/09/05 23:58:00.021, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:58:00.021, 2, NVIDIA L40S, 37 %, 893 MiB
2026/09/05 23:58:00.021, 3, NVIDIA L40S, 2 %, 893 MiB
2026/09/05 23:58:10.022, 0, NVIDIA L40S, 28 %, 893 MiB
2026/09/05 23:58:10.022, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/05 23:58:10.022, 2, NVIDIA L40S, 18 %, 893 MiB
2026/09/05 23:58:10.022, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:58:20.023, 0, NVIDIA L40S, 24 %, 893 MiB
2026/09/05 23:58:20.023, 1, NVIDIA L40S, 28 %, 893 MiB
2026/09/05 23:58:20.023, 2, NVIDIA L40S, 27 %, 893 MiB
2026/09/05 23:58:20.023, 3, NVIDIA L40S, 17 %, 893 MiB
2026/09/05 23:58:30.024, 0, NVIDIA L40S, 18 %, 893 MiB
2026/09/05 23:58:30.024, 1, NVIDIA L40S, 31 %, 893 MiB
2026/09/05 23:58:30.024, 2, NVIDIA L40S, 25 %, 893 MiB
2026/09/05 23:58:30.024, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:58:40.025, 0, NVIDIA L40S, 22 %, 893 MiB
2026/09/05 23:58:40.025, 1, NVIDIA L40S, 14 %, 893 MiB
2026/09/05 23:58:40.025, 2, NVIDIA L40S, 30 %, 893 MiB
2026/09/05 23:58:40.025, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:58:50.026, 0, NVIDIA L40S, 25 %, 893 MiB
2026/09/05 23:58:50.026, 1, NVIDIA L40S, 32 %, 893 MiB
2026/09/05 23:58:50.026, 2, NVIDIA L40S, 25 %, 893 MiB
2026/09/05 23:58:50.027, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:59:00.027, 0, NVIDIA L40S, 14 %, 893 MiB
2026/09/05 23:59:00.028, 1, NVIDIA L40S, 34 %, 893 MiB
2026/09/05 23:59:00.028, 2, NVIDIA L40S, 26 %, 893 MiB
2026/09/05 23:59:00.028, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:59:10.029, 0, NVIDIA L40S, 25 %, 893 MiB
2026/09/05 23:59:10.029, 1, NVIDIA L40S, 30 %, 893 MiB
2026/09/05 23:59:10.029, 2, NVIDIA L40S, 18 %, 893 MiB
2026/09/05 23:59:10.029, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:59:20.030, 0, NVIDIA L40S, 23 %, 893 MiB
2026/09/05 23:59:20.030, 1, NVIDIA L40S, 30 %, 893 MiB
2026/09/05 23:59:20.030, 2, NVIDIA L40S, 29 %, 893 MiB
2026/09/05 23:59:20.030, 3, NVIDIA L40S, 5 %, 893 MiB
2026/09/05 23:59:30.031, 0, NVIDIA L40S, 22 %, 893 MiB
2026/09/05 23:59:30.032, 1, NVIDIA L40S, 27 %, 893 MiB
2026/09/05 23:59:30.032, 2, NVIDIA L40S, 22 %, 893 MiB
2026/09/05 23:59:30.032, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:59:40.032, 0, NVIDIA L40S, 24 %, 893 MiB
2026/09/05 23:59:40.033, 1, NVIDIA L40S, 27 %, 893 MiB
2026/09/05 23:59:40.033, 2, NVIDIA L40S, 21 %, 893 MiB
2026/09/05 23:59:40.033, 3, NVIDIA L40S, 6 %, 893 MiB
2026/09/05 23:59:50.034, 0, NVIDIA L40S, 26 %, 893 MiB
2026/09/05 23:59:50.034, 1, NVIDIA L40S, 29 %, 893 MiB
2026/09/05 23:59:50.034, 2, NVIDIA L40S, 26 %, 893 MiB
2026/09/05 23:59:50.034, 3, NVIDIA L40S, 13 %, 893 MiB
2026/09/06 00:00:00.035, 0, NVIDIA L40S, 8 %, 893 MiB
