timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 23:23:30.967, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:23:30.967, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:23:30.967, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 23:23:30.968, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 23:23:40.969, 0, NVIDIA L40S, 19 %, 8215 MiB
2026/09/05 23:23:40.969, 1, NVIDIA L40S, 28 %, 10891 MiB
2026/09/05 23:23:40.969, 2, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:23:40.969, 3, NVIDIA L40S, 18 %, 8215 MiB
2026/09/05 23:23:50.970, 0, NVIDIA L40S, 87 %, 25555 MiB
2026/09/05 23:23:50.970, 1, NVIDIA L40S, 83 %, 25557 MiB
2026/09/05 23:23:50.970, 2, NVIDIA L40S, 82 %, 25557 MiB
2026/09/05 23:23:50.970, 3, NVIDIA L40S, 86 %, 25557 MiB
2026/09/05 23:24:00.971, 0, NVIDIA L40S, 89 %, 25555 MiB
2026/09/05 23:24:00.971, 1, NVIDIA L40S, 84 %, 25557 MiB
2026/09/05 23:24:00.971, 2, NVIDIA L40S, 85 %, 25557 MiB
2026/09/05 23:24:00.971, 3, NVIDIA L40S, 88 %, 25557 MiB
2026/09/05 23:24:10.972, 0, NVIDIA L40S, 90 %, 25557 MiB
2026/09/05 23:24:10.972, 1, NVIDIA L40S, 83 %, 25557 MiB
2026/09/05 23:24:10.972, 2, NVIDIA L40S, 83 %, 25557 MiB
2026/09/05 23:24:10.972, 3, NVIDIA L40S, 88 %, 25557 MiB
2026/09/05 23:24:20.973, 0, NVIDIA L40S, 86 %, 25557 MiB
2026/09/05 23:24:20.974, 1, NVIDIA L40S, 82 %, 25557 MiB
2026/09/05 23:24:20.974, 2, NVIDIA L40S, 88 %, 25557 MiB
2026/09/05 23:24:20.974, 3, NVIDIA L40S, 77 %, 25557 MiB
2026/09/05 23:24:30.975, 0, NVIDIA L40S, 89 %, 25557 MiB
2026/09/05 23:24:30.975, 1, NVIDIA L40S, 87 %, 25557 MiB
2026/09/05 23:24:30.975, 2, NVIDIA L40S, 90 %, 25557 MiB
2026/09/05 23:24:30.975, 3, NVIDIA L40S, 87 %, 25557 MiB
2026/09/05 23:24:40.976, 0, NVIDIA L40S, 89 %, 25557 MiB
2026/09/05 23:24:40.976, 1, NVIDIA L40S, 89 %, 25557 MiB
2026/09/05 23:24:40.977, 2, NVIDIA L40S, 84 %, 25557 MiB
2026/09/05 23:24:40.977, 3, NVIDIA L40S, 89 %, 25557 MiB
2026/09/05 23:24:50.978, 0, NVIDIA L40S, 85 %, 25557 MiB
2026/09/05 23:24:50.978, 1, NVIDIA L40S, 81 %, 25557 MiB
2026/09/05 23:24:50.978, 2, NVIDIA L40S, 90 %, 25557 MiB
2026/09/05 23:24:50.978, 3, NVIDIA L40S, 90 %, 25557 MiB
2026/09/05 23:25:00.979, 0, NVIDIA L40S, 82 %, 25557 MiB
2026/09/05 23:25:00.979, 1, NVIDIA L40S, 80 %, 25557 MiB
2026/09/05 23:25:00.979, 2, NVIDIA L40S, 83 %, 25557 MiB
2026/09/05 23:25:00.979, 3, NVIDIA L40S, 88 %, 25557 MiB
2026/09/05 23:25:10.980, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:25:10.980, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:25:10.980, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:25:10.980, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 23:25:20.981, 0, NVIDIA L40S, 0 %, 583 MiB
2026/09/05 23:25:20.981, 1, NVIDIA L40S, 21 %, 18107 MiB
2026/09/05 23:25:20.981, 2, NVIDIA L40S, 25 %, 18979 MiB
2026/09/05 23:25:20.981, 3, NVIDIA L40S, 21 %, 18107 MiB
2026/09/05 23:25:30.982, 0, NVIDIA L40S, 97 %, 27259 MiB
2026/09/05 23:25:30.982, 1, NVIDIA L40S, 93 %, 27319 MiB
2026/09/05 23:25:30.982, 2, NVIDIA L40S, 96 %, 27355 MiB
2026/09/05 23:25:30.982, 3, NVIDIA L40S, 97 %, 27341 MiB
2026/09/05 23:25:40.983, 0, NVIDIA L40S, 94 %, 27355 MiB
2026/09/05 23:25:40.983, 1, NVIDIA L40S, 83 %, 27331 MiB
2026/09/05 23:25:40.983, 2, NVIDIA L40S, 84 %, 27355 MiB
2026/09/05 23:25:40.983, 3, NVIDIA L40S, 97 %, 27341 MiB
2026/09/05 23:25:50.984, 0, NVIDIA L40S, 79 %, 27379 MiB
2026/09/05 23:25:50.984, 1, NVIDIA L40S, 96 %, 27331 MiB
2026/09/05 23:25:50.984, 2, NVIDIA L40S, 97 %, 27361 MiB
2026/09/05 23:25:50.984, 3, NVIDIA L40S, 94 %, 27357 MiB
2026/09/05 23:26:00.985, 0, NVIDIA L40S, 97 %, 27387 MiB
2026/09/05 23:26:00.985, 1, NVIDIA L40S, 97 %, 27357 MiB
2026/09/05 23:26:00.985, 2, NVIDIA L40S, 97 %, 27361 MiB
2026/09/05 23:26:00.985, 3, NVIDIA L40S, 94 %, 27357 MiB
2026/09/05 23:26:10.986, 0, NVIDIA L40S, 93 %, 27407 MiB
2026/09/05 23:26:10.986, 1, NVIDIA L40S, 95 %, 27357 MiB
2026/09/05 23:26:10.986, 2, NVIDIA L40S, 97 %, 27441 MiB
2026/09/05 23:26:10.986, 3, NVIDIA L40S, 78 %, 27357 MiB
2026/09/05 23:26:20.987, 0, NVIDIA L40S, 97 %, 27427 MiB
2026/09/05 23:26:20.987, 1, NVIDIA L40S, 0 %, 27357 MiB
2026/09/05 23:26:20.987, 2, NVIDIA L40S, 0 %, 27441 MiB
2026/09/05 23:26:20.987, 3, NVIDIA L40S, 0 %, 27357 MiB
