timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:23:41.796, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:23:41.797, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:23:41.797, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/05 22:23:41.798, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:23:51.799, 0, NVIDIA L40S, 22 %, 9679 MiB
2026/09/05 22:23:51.799, 1, NVIDIA L40S, 24 %, 11635 MiB
2026/09/05 22:23:51.799, 2, NVIDIA L40S, 26 %, 9923 MiB
2026/09/05 22:23:51.799, 3, NVIDIA L40S, 22 %, 9679 MiB
2026/09/05 22:24:01.800, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:24:01.800, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:24:01.800, 2, NVIDIA L40S, 16 %, 0 MiB
2026/09/05 22:24:01.800, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:24:11.801, 0, NVIDIA L40S, 22 %, 21403 MiB
2026/09/05 22:24:11.801, 1, NVIDIA L40S, 21 %, 17587 MiB
2026/09/05 22:24:11.801, 2, NVIDIA L40S, 19 %, 21211 MiB
2026/09/05 22:24:11.801, 3, NVIDIA L40S, 21 %, 17587 MiB
2026/09/05 22:24:21.802, 0, NVIDIA L40S, 89 %, 27283 MiB
2026/09/05 22:24:21.802, 1, NVIDIA L40S, 95 %, 27271 MiB
2026/09/05 22:24:21.803, 2, NVIDIA L40S, 97 %, 27303 MiB
2026/09/05 22:24:21.803, 3, NVIDIA L40S, 97 %, 27279 MiB
2026/09/05 22:24:31.804, 0, NVIDIA L40S, 79 %, 27381 MiB
2026/09/05 22:24:31.804, 1, NVIDIA L40S, 94 %, 27271 MiB
2026/09/05 22:24:31.804, 2, NVIDIA L40S, 97 %, 27309 MiB
2026/09/05 22:24:31.804, 3, NVIDIA L40S, 96 %, 27299 MiB
