timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:49:32.839, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/05 22:49:32.839, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:32.840, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:32.840, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:42.841, 0, NVIDIA L40S, 11 %, 12475 MiB
2026/09/05 22:49:42.842, 1, NVIDIA L40S, 22 %, 10243 MiB
2026/09/05 22:49:42.842, 2, NVIDIA L40S, 28 %, 10795 MiB
2026/09/05 22:49:42.842, 3, NVIDIA L40S, 22 %, 10243 MiB
2026/09/05 22:49:52.843, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:52.843, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:52.843, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:49:52.843, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:50:02.844, 0, NVIDIA L40S, 19 %, 16375 MiB
2026/09/05 22:50:02.844, 1, NVIDIA L40S, 4 %, 16375 MiB
2026/09/05 22:50:02.844, 2, NVIDIA L40S, 24 %, 20467 MiB
2026/09/05 22:50:02.844, 3, NVIDIA L40S, 3 %, 16375 MiB
2026/09/05 22:50:12.845, 0, NVIDIA L40S, 81 %, 27271 MiB
2026/09/05 22:50:12.845, 1, NVIDIA L40S, 93 %, 27271 MiB
2026/09/05 22:50:12.845, 2, NVIDIA L40S, 90 %, 27295 MiB
2026/09/05 22:50:12.845, 3, NVIDIA L40S, 97 %, 27279 MiB
2026/09/05 22:50:22.847, 0, NVIDIA L40S, 77 %, 27333 MiB
2026/09/05 22:50:22.847, 1, NVIDIA L40S, 94 %, 27271 MiB
2026/09/05 22:50:22.847, 2, NVIDIA L40S, 90 %, 27303 MiB
2026/09/05 22:50:22.847, 3, NVIDIA L40S, 97 %, 27299 MiB
