timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:21:34.723, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:21:34.723, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:21:34.723, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:21:34.724, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:21:44.725, 0, NVIDIA L40S, 27 %, 10147 MiB
2026/09/05 22:21:44.725, 1, NVIDIA L40S, 4 %, 8311 MiB
2026/09/05 22:21:44.725, 2, NVIDIA L40S, 26 %, 10295 MiB
2026/09/05 22:21:44.725, 3, NVIDIA L40S, 11 %, 8311 MiB
2026/09/05 22:21:54.726, 0, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:21:54.726, 1, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:21:54.726, 2, NVIDIA L40S, 69 %, 3 MiB
2026/09/05 22:21:54.726, 3, NVIDIA L40S, 100 %, 3 MiB
2026/09/05 22:22:04.727, 0, NVIDIA L40S, 25 %, 22051 MiB
2026/09/05 22:22:04.727, 1, NVIDIA L40S, 19 %, 16375 MiB
2026/09/05 22:22:04.727, 2, NVIDIA L40S, 17 %, 16375 MiB
2026/09/05 22:22:04.727, 3, NVIDIA L40S, 14 %, 16375 MiB
2026/09/05 22:22:14.728, 0, NVIDIA L40S, 94 %, 27283 MiB
2026/09/05 22:22:14.728, 1, NVIDIA L40S, 92 %, 27271 MiB
2026/09/05 22:22:14.729, 2, NVIDIA L40S, 94 %, 27289 MiB
2026/09/05 22:22:14.729, 3, NVIDIA L40S, 97 %, 27279 MiB
2026/09/05 22:22:24.730, 0, NVIDIA L40S, 93 %, 27387 MiB
2026/09/05 22:22:24.730, 1, NVIDIA L40S, 94 %, 27271 MiB
2026/09/05 22:22:24.730, 2, NVIDIA L40S, 94 %, 27303 MiB
2026/09/05 22:22:24.730, 3, NVIDIA L40S, 97 %, 27299 MiB
