timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:14:42.719, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:14:42.719, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 06:14:42.720, 2, NVIDIA L40S, 9 %, 0 MiB
2026/09/06 06:14:42.720, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:14:52.721, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:14:52.722, 1, NVIDIA L40S, 0 %, 17819 MiB
2026/09/06 06:14:52.722, 2, NVIDIA L40S, 52 %, 18031 MiB
2026/09/06 06:14:52.722, 3, NVIDIA L40S, 12 %, 17819 MiB
2026/09/06 06:15:02.723, 0, NVIDIA L40S, 87 %, 18031 MiB
2026/09/06 06:15:02.723, 1, NVIDIA L40S, 85 %, 17931 MiB
2026/09/06 06:15:02.723, 2, NVIDIA L40S, 85 %, 18031 MiB
2026/09/06 06:15:02.723, 3, NVIDIA L40S, 86 %, 17979 MiB
2026/09/06 06:15:12.724, 0, NVIDIA L40S, 73 %, 18361 MiB
2026/09/06 06:15:12.724, 1, NVIDIA L40S, 86 %, 17931 MiB
2026/09/06 06:15:12.724, 2, NVIDIA L40S, 64 %, 18061 MiB
2026/09/06 06:15:12.724, 3, NVIDIA L40S, 87 %, 18037 MiB
2026/09/06 06:15:22.725, 0, NVIDIA L40S, 87 %, 18361 MiB
2026/09/06 06:15:22.725, 1, NVIDIA L40S, 86 %, 18011 MiB
2026/09/06 06:15:22.725, 2, NVIDIA L40S, 86 %, 18061 MiB
2026/09/06 06:15:22.725, 3, NVIDIA L40S, 64 %, 18037 MiB
2026/09/06 06:15:32.726, 0, NVIDIA L40S, 87 %, 18437 MiB
2026/09/06 06:15:32.727, 1, NVIDIA L40S, 65 %, 18097 MiB
2026/09/06 06:15:32.727, 2, NVIDIA L40S, 86 %, 18125 MiB
2026/09/06 06:15:32.727, 3, NVIDIA L40S, 87 %, 18037 MiB
2026/09/06 06:15:42.728, 0, NVIDIA L40S, 73 %, 18597 MiB
2026/09/06 06:15:42.728, 1, NVIDIA L40S, 86 %, 18097 MiB
2026/09/06 06:15:42.728, 2, NVIDIA L40S, 86 %, 18509 MiB
2026/09/06 06:15:42.728, 3, NVIDIA L40S, 62 %, 18037 MiB
2026/09/06 06:15:52.729, 0, NVIDIA L40S, 88 %, 18597 MiB
2026/09/06 06:15:52.729, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:15:52.729, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:15:52.729, 3, NVIDIA L40S, 0 %, 3 MiB
