timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:48:38.969, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 06:48:38.969, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:48:38.969, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 06:48:38.970, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:48:48.971, 0, NVIDIA L40S, 30 %, 18801 MiB
2026/09/06 06:48:48.971, 1, NVIDIA L40S, 3 %, 17529 MiB
2026/09/06 06:48:48.971, 2, NVIDIA L40S, 10 %, 17529 MiB
2026/09/06 06:48:48.971, 3, NVIDIA L40S, 0 %, 17529 MiB
2026/09/06 06:48:58.972, 0, NVIDIA L40S, 95 %, 18801 MiB
2026/09/06 06:48:58.972, 1, NVIDIA L40S, 62 %, 18661 MiB
2026/09/06 06:48:58.972, 2, NVIDIA L40S, 79 %, 18801 MiB
2026/09/06 06:48:58.972, 3, NVIDIA L40S, 96 %, 18711 MiB
2026/09/06 06:49:08.973, 0, NVIDIA L40S, 72 %, 19239 MiB
2026/09/06 06:49:08.973, 1, NVIDIA L40S, 95 %, 18661 MiB
2026/09/06 06:49:08.973, 2, NVIDIA L40S, 95 %, 18801 MiB
2026/09/06 06:49:08.973, 3, NVIDIA L40S, 81 %, 18809 MiB
2026/09/06 06:49:18.974, 0, NVIDIA L40S, 96 %, 19239 MiB
2026/09/06 06:49:18.974, 1, NVIDIA L40S, 96 %, 18661 MiB
2026/09/06 06:49:18.974, 2, NVIDIA L40S, 95 %, 18801 MiB
2026/09/06 06:49:18.974, 3, NVIDIA L40S, 96 %, 18809 MiB
2026/09/06 06:49:28.975, 0, NVIDIA L40S, 96 %, 19239 MiB
2026/09/06 06:49:28.975, 1, NVIDIA L40S, 70 %, 18661 MiB
2026/09/06 06:49:28.975, 2, NVIDIA L40S, 96 %, 18801 MiB
2026/09/06 06:49:28.975, 3, NVIDIA L40S, 96 %, 18809 MiB
2026/09/06 06:49:38.976, 0, NVIDIA L40S, 96 %, 19503 MiB
2026/09/06 06:49:38.976, 1, NVIDIA L40S, 95 %, 18661 MiB
2026/09/06 06:49:38.976, 2, NVIDIA L40S, 74 %, 18905 MiB
2026/09/06 06:49:38.976, 3, NVIDIA L40S, 97 %, 18809 MiB
2026/09/06 06:49:48.977, 0, NVIDIA L40S, 96 %, 19503 MiB
2026/09/06 06:49:48.978, 1, NVIDIA L40S, 95 %, 18661 MiB
2026/09/06 06:49:48.978, 2, NVIDIA L40S, 96 %, 18905 MiB
2026/09/06 06:49:48.978, 3, NVIDIA L40S, 96 %, 18809 MiB
2026/09/06 06:49:58.979, 0, NVIDIA L40S, 97 %, 19503 MiB
2026/09/06 06:49:58.979, 1, NVIDIA L40S, 94 %, 18757 MiB
2026/09/06 06:49:58.979, 2, NVIDIA L40S, 96 %, 18905 MiB
2026/09/06 06:49:58.979, 3, NVIDIA L40S, 69 %, 18809 MiB
2026/09/06 06:50:08.980, 0, NVIDIA L40S, 97 %, 19503 MiB
2026/09/06 06:50:08.980, 1, NVIDIA L40S, 71 %, 18861 MiB
2026/09/06 06:50:08.980, 2, NVIDIA L40S, 96 %, 18905 MiB
2026/09/06 06:50:08.980, 3, NVIDIA L40S, 97 %, 18809 MiB
2026/09/06 06:50:18.981, 0, NVIDIA L40S, 96 %, 19503 MiB
2026/09/06 06:50:18.981, 1, NVIDIA L40S, 67 %, 18861 MiB
2026/09/06 06:50:18.981, 2, NVIDIA L40S, 95 %, 19017 MiB
2026/09/06 06:50:18.982, 3, NVIDIA L40S, 95 %, 18809 MiB
2026/09/06 06:50:28.983, 0, NVIDIA L40S, 97 %, 19503 MiB
2026/09/06 06:50:28.983, 1, NVIDIA L40S, 95 %, 18861 MiB
2026/09/06 06:50:28.983, 2, NVIDIA L40S, 78 %, 19533 MiB
2026/09/06 06:50:28.983, 3, NVIDIA L40S, 72 %, 18809 MiB
2026/09/06 06:50:38.984, 0, NVIDIA L40S, 68 %, 19779 MiB
2026/09/06 06:50:38.984, 1, NVIDIA L40S, 67 %, 18861 MiB
2026/09/06 06:50:38.984, 2, NVIDIA L40S, 79 %, 19533 MiB
2026/09/06 06:50:38.984, 3, NVIDIA L40S, 76 %, 18809 MiB
2026/09/06 06:50:48.985, 0, NVIDIA L40S, 68 %, 19779 MiB
2026/09/06 06:50:48.985, 1, NVIDIA L40S, 73 %, 18861 MiB
2026/09/06 06:50:48.985, 2, NVIDIA L40S, 95 %, 19533 MiB
2026/09/06 06:50:48.986, 3, NVIDIA L40S, 96 %, 18809 MiB
2026/09/06 06:50:58.987, 0, NVIDIA L40S, 68 %, 19779 MiB
2026/09/06 06:50:58.987, 1, NVIDIA L40S, 68 %, 18861 MiB
2026/09/06 06:50:58.987, 2, NVIDIA L40S, 97 %, 19533 MiB
2026/09/06 06:50:58.987, 3, NVIDIA L40S, 96 %, 18809 MiB
2026/09/06 06:51:08.988, 0, NVIDIA L40S, 78 %, 19779 MiB
2026/09/06 06:51:08.988, 1, NVIDIA L40S, 63 %, 18861 MiB
2026/09/06 06:51:08.988, 2, NVIDIA L40S, 96 %, 19533 MiB
2026/09/06 06:51:08.988, 3, NVIDIA L40S, 95 %, 18809 MiB
2026/09/06 06:51:18.989, 0, NVIDIA L40S, 64 %, 19779 MiB
