timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:39:53.321, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:39:53.321, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:39:53.321, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 06:39:53.322, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:40:03.323, 0, NVIDIA L40S, 5 %, 17649 MiB
2026/09/06 06:40:03.323, 1, NVIDIA L40S, 17 %, 17669 MiB
2026/09/06 06:40:03.323, 2, NVIDIA L40S, 19 %, 17649 MiB
2026/09/06 06:40:03.323, 3, NVIDIA L40S, 9 %, 17669 MiB
2026/09/06 06:40:13.324, 0, NVIDIA L40S, 94 %, 18801 MiB
2026/09/06 06:40:13.325, 1, NVIDIA L40S, 64 %, 18661 MiB
2026/09/06 06:40:13.325, 2, NVIDIA L40S, 74 %, 18801 MiB
2026/09/06 06:40:13.325, 3, NVIDIA L40S, 93 %, 18711 MiB
2026/09/06 06:40:23.326, 0, NVIDIA L40S, 62 %, 19239 MiB
2026/09/06 06:40:23.326, 1, NVIDIA L40S, 94 %, 18661 MiB
2026/09/06 06:40:23.326, 2, NVIDIA L40S, 96 %, 18801 MiB
2026/09/06 06:40:23.326, 3, NVIDIA L40S, 93 %, 18711 MiB
2026/09/06 06:40:33.327, 0, NVIDIA L40S, 94 %, 19239 MiB
2026/09/06 06:40:33.327, 1, NVIDIA L40S, 94 %, 18661 MiB
2026/09/06 06:40:33.327, 2, NVIDIA L40S, 96 %, 18801 MiB
2026/09/06 06:40:33.327, 3, NVIDIA L40S, 67 %, 18809 MiB
2026/09/06 06:40:43.328, 0, NVIDIA L40S, 94 %, 19239 MiB
2026/09/06 06:40:43.328, 1, NVIDIA L40S, 73 %, 18661 MiB
2026/09/06 06:40:43.328, 2, NVIDIA L40S, 96 %, 18801 MiB
2026/09/06 06:40:43.329, 3, NVIDIA L40S, 94 %, 18809 MiB
2026/09/06 06:40:53.330, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:40:53.330, 1, NVIDIA L40S, 94 %, 18661 MiB
2026/09/06 06:40:53.330, 2, NVIDIA L40S, 65 %, 18905 MiB
2026/09/06 06:40:53.330, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:03.331, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:03.331, 1, NVIDIA L40S, 94 %, 18661 MiB
2026/09/06 06:41:03.331, 2, NVIDIA L40S, 97 %, 18905 MiB
2026/09/06 06:41:03.331, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:13.332, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:13.332, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:13.332, 2, NVIDIA L40S, 96 %, 18905 MiB
2026/09/06 06:41:13.332, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:23.333, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:23.334, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:41:23.334, 2, NVIDIA L40S, 95 %, 18905 MiB
2026/09/06 06:41:23.334, 3, NVIDIA L40S, 0 %, 3 MiB
