timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 02:57:52.052, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 02:57:52.053, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:57:52.053, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:57:52.053, 3, NVIDIA L40S, 2 %, 0 MiB
2026/09/06 02:58:02.054, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:58:02.054, 1, NVIDIA L40S, 39 %, 17905 MiB
2026/09/06 02:58:02.054, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:58:02.054, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:58:12.055, 0, NVIDIA L40S, 72 %, 18031 MiB
2026/09/06 02:58:12.055, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:58:12.055, 2, NVIDIA L40S, 88 %, 18031 MiB
2026/09/06 02:58:12.055, 3, NVIDIA L40S, 70 %, 17987 MiB
