timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 01:18:01.728, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:18:01.729, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:18:01.729, 2, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 01:18:01.730, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:18:11.731, 0, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 01:18:11.731, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 01:18:11.731, 2, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 01:18:11.731, 3, NVIDIA L40S, 0 %, 493 MiB
2026/09/06 01:18:21.732, 0, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 01:18:21.733, 1, NVIDIA L40S, 0 %, 5861 MiB
2026/09/06 01:18:21.733, 2, NVIDIA L40S, 9 %, 5861 MiB
2026/09/06 01:18:21.733, 3, NVIDIA L40S, 11 %, 5861 MiB
2026/09/06 01:18:31.734, 0, NVIDIA L40S, 0 %, 21983 MiB
2026/09/06 01:18:31.734, 1, NVIDIA L40S, 35 %, 6297 MiB
2026/09/06 01:18:31.734, 2, NVIDIA L40S, 30 %, 6009 MiB
2026/09/06 01:18:31.734, 3, NVIDIA L40S, 30 %, 6009 MiB
2026/09/06 01:18:41.736, 0, NVIDIA L40S, 30 %, 22131 MiB
2026/09/06 01:18:41.736, 1, NVIDIA L40S, 30 %, 6297 MiB
2026/09/06 01:18:41.736, 2, NVIDIA L40S, 33 %, 6297 MiB
2026/09/06 01:18:41.736, 3, NVIDIA L40S, 36 %, 6297 MiB
2026/09/06 01:18:51.737, 0, NVIDIA L40S, 25 %, 22379 MiB
2026/09/06 01:18:51.737, 1, NVIDIA L40S, 25 %, 6297 MiB
2026/09/06 01:18:51.737, 2, NVIDIA L40S, 27 %, 6297 MiB
2026/09/06 01:18:51.737, 3, NVIDIA L40S, 26 %, 6297 MiB
2026/09/06 01:19:01.739, 0, NVIDIA L40S, 22 %, 22379 MiB
2026/09/06 01:19:01.739, 1, NVIDIA L40S, 25 %, 6297 MiB
2026/09/06 01:19:01.739, 2, NVIDIA L40S, 26 %, 6297 MiB
2026/09/06 01:19:01.739, 3, NVIDIA L40S, 27 %, 6297 MiB
2026/09/06 01:19:11.740, 0, NVIDIA L40S, 9 %, 22379 MiB
2026/09/06 01:19:11.740, 1, NVIDIA L40S, 25 %, 6297 MiB
2026/09/06 01:19:11.741, 2, NVIDIA L40S, 22 %, 6297 MiB
2026/09/06 01:19:11.741, 3, NVIDIA L40S, 26 %, 6297 MiB
2026/09/06 01:19:21.742, 0, NVIDIA L40S, 22 %, 22379 MiB
2026/09/06 01:19:21.742, 1, NVIDIA L40S, 25 %, 6297 MiB
2026/09/06 01:19:21.742, 2, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:21.742, 3, NVIDIA L40S, 27 %, 6297 MiB
2026/09/06 01:19:31.743, 0, NVIDIA L40S, 30 %, 22379 MiB
2026/09/06 01:19:31.744, 1, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:31.744, 2, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:31.744, 3, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:41.745, 0, NVIDIA L40S, 22 %, 22379 MiB
2026/09/06 01:19:41.745, 1, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:41.745, 2, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:41.746, 3, NVIDIA L40S, 26 %, 6297 MiB
2026/09/06 01:19:51.746, 0, NVIDIA L40S, 23 %, 22379 MiB
2026/09/06 01:19:51.746, 1, NVIDIA L40S, 24 %, 6297 MiB
2026/09/06 01:19:51.746, 2, NVIDIA L40S, 23 %, 6297 MiB
2026/09/06 01:19:51.746, 3, NVIDIA L40S, 27 %, 6297 MiB
2026/09/06 01:20:01.746, 0, NVIDIA L40S, 24 %, 22379 MiB
2026/09/06 01:20:01.747, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 01:20:01.747, 2, NVIDIA L40S, 29 %, 6297 MiB
2026/09/06 01:20:01.747, 3, NVIDIA L40S, 44 %, 3 MiB
2026/09/06 01:20:11.748, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:20:11.748, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:20:11.748, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 01:20:11.748, 3, NVIDIA L40S, 0 %, 0 MiB
