timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 15:24:31.648, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 15:24:31.648, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 15:24:31.649, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 15:24:31.649, 3, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 15:24:41.650, 0, NVIDIA L40S, 20 %, 11731 MiB
2026/09/06 15:24:41.650, 1, NVIDIA L40S, 24 %, 12155 MiB
2026/09/06 15:24:41.650, 2, NVIDIA L40S, 26 %, 12155 MiB
2026/09/06 15:24:41.650, 3, NVIDIA L40S, 21 %, 11731 MiB
2026/09/06 15:24:51.651, 0, NVIDIA L40S, 93 %, 27721 MiB
2026/09/06 15:24:51.651, 1, NVIDIA L40S, 93 %, 27703 MiB
2026/09/06 15:24:51.651, 2, NVIDIA L40S, 93 %, 27717 MiB
2026/09/06 15:24:51.651, 3, NVIDIA L40S, 95 %, 28009 MiB
2026/09/06 15:25:01.652, 0, NVIDIA L40S, 98 %, 27765 MiB
2026/09/06 15:25:01.652, 1, NVIDIA L40S, 85 %, 27761 MiB
2026/09/06 15:25:01.652, 2, NVIDIA L40S, 94 %, 27807 MiB
2026/09/06 15:25:01.652, 3, NVIDIA L40S, 96 %, 28009 MiB
2026/09/06 15:25:11.653, 0, NVIDIA L40S, 93 %, 27799 MiB
2026/09/06 15:25:11.654, 1, NVIDIA L40S, 93 %, 27773 MiB
2026/09/06 15:25:11.654, 2, NVIDIA L40S, 97 %, 27809 MiB
2026/09/06 15:25:11.654, 3, NVIDIA L40S, 93 %, 28009 MiB
2026/09/06 15:25:21.655, 0, NVIDIA L40S, 94 %, 27799 MiB
2026/09/06 15:25:21.655, 1, NVIDIA L40S, 95 %, 27773 MiB
2026/09/06 15:25:21.655, 2, NVIDIA L40S, 94 %, 27809 MiB
2026/09/06 15:25:21.655, 3, NVIDIA L40S, 98 %, 28009 MiB
2026/09/06 15:25:31.656, 0, NVIDIA L40S, 94 %, 27799 MiB
2026/09/06 15:25:31.656, 1, NVIDIA L40S, 93 %, 27775 MiB
2026/09/06 15:25:31.656, 2, NVIDIA L40S, 94 %, 27809 MiB
2026/09/06 15:25:31.656, 3, NVIDIA L40S, 95 %, 28119 MiB
2026/09/06 15:25:41.657, 0, NVIDIA L40S, 93 %, 27799 MiB
2026/09/06 15:25:41.658, 1, NVIDIA L40S, 92 %, 27775 MiB
2026/09/06 15:25:41.658, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:25:41.658, 3, NVIDIA L40S, 80 %, 28153 MiB
2026/09/06 15:25:51.659, 0, NVIDIA L40S, 94 %, 27799 MiB
2026/09/06 15:25:51.659, 1, NVIDIA L40S, 94 %, 27775 MiB
2026/09/06 15:25:51.659, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:25:51.659, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:01.660, 0, NVIDIA L40S, 96 %, 27799 MiB
2026/09/06 15:26:01.660, 1, NVIDIA L40S, 93 %, 27881 MiB
2026/09/06 15:26:01.660, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:01.660, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:11.661, 0, NVIDIA L40S, 82 %, 27799 MiB
2026/09/06 15:26:11.662, 1, NVIDIA L40S, 93 %, 27881 MiB
2026/09/06 15:26:11.662, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:11.662, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:21.663, 0, NVIDIA L40S, 92 %, 27819 MiB
2026/09/06 15:26:21.663, 1, NVIDIA L40S, 93 %, 27881 MiB
2026/09/06 15:26:21.663, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:21.663, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:31.664, 0, NVIDIA L40S, 95 %, 27855 MiB
2026/09/06 15:26:31.664, 1, NVIDIA L40S, 93 %, 27901 MiB
2026/09/06 15:26:31.664, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:31.664, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:41.665, 0, NVIDIA L40S, 0 %, 27855 MiB
2026/09/06 15:26:41.665, 1, NVIDIA L40S, 97 %, 27901 MiB
2026/09/06 15:26:41.665, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:41.665, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:26:51.666, 0, NVIDIA L40S, 0 %, 27855 MiB
2026/09/06 15:26:51.666, 1, NVIDIA L40S, 92 %, 27901 MiB
2026/09/06 15:26:51.666, 2, NVIDIA L40S, 0 %, 27809 MiB
2026/09/06 15:26:51.666, 3, NVIDIA L40S, 0 %, 28153 MiB
2026/09/06 15:27:01.667, 0, NVIDIA L40S, 0 %, 27855 MiB
2026/09/06 15:27:01.667, 1, NVIDIA L40S, 95 %, 27901 MiB
