timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 14:27:29.689, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:27:29.689, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:27:29.690, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:27:29.690, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:27:39.691, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:27:39.691, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:39.691, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:39.691, 3, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:27:49.692, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:27:49.692, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:49.692, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:49.692, 3, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:27:59.693, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:27:59.693, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:59.693, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:27:59.693, 3, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:28:09.694, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:28:09.694, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:28:09.694, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:28:09.694, 3, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:28:19.695, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:28:19.695, 1, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:28:19.695, 2, NVIDIA L40S, 0 %, 495 MiB
2026/09/06 14:28:19.695, 3, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 14:28:29.696, 0, NVIDIA L40S, 57 %, 2171 MiB
2026/09/06 14:28:29.696, 1, NVIDIA L40S, 34 %, 1021 MiB
2026/09/06 14:28:29.696, 2, NVIDIA L40S, 34 %, 1021 MiB
2026/09/06 14:28:29.697, 3, NVIDIA L40S, 34 %, 2171 MiB
2026/09/06 14:28:39.697, 0, NVIDIA L40S, 2 %, 2173 MiB
2026/09/06 14:28:39.698, 1, NVIDIA L40S, 0 %, 1021 MiB
2026/09/06 14:28:39.698, 2, NVIDIA L40S, 0 %, 1021 MiB
2026/09/06 14:28:39.698, 3, NVIDIA L40S, 31 %, 2173 MiB
2026/09/06 14:28:49.699, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:28:49.699, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:28:49.699, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:28:49.699, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:28:59.700, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 14:28:59.700, 1, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 14:28:59.701, 2, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 14:28:59.701, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 14:29:09.702, 0, NVIDIA L40S, 1 %, 27263 MiB
2026/09/06 14:29:09.702, 1, NVIDIA L40S, 0 %, 27283 MiB
2026/09/06 14:29:09.702, 2, NVIDIA L40S, 0 %, 27283 MiB
2026/09/06 14:29:09.702, 3, NVIDIA L40S, 0 %, 27283 MiB
2026/09/06 14:29:19.703, 0, NVIDIA L40S, 84 %, 27585 MiB
2026/09/06 14:29:19.703, 1, NVIDIA L40S, 91 %, 27589 MiB
2026/09/06 14:29:19.703, 2, NVIDIA L40S, 95 %, 27605 MiB
2026/09/06 14:29:19.703, 3, NVIDIA L40S, 94 %, 27597 MiB
2026/09/06 14:29:29.704, 0, NVIDIA L40S, 93 %, 27623 MiB
2026/09/06 14:29:29.704, 1, NVIDIA L40S, 87 %, 27589 MiB
2026/09/06 14:29:29.705, 2, NVIDIA L40S, 94 %, 27625 MiB
2026/09/06 14:29:29.705, 3, NVIDIA L40S, 94 %, 27597 MiB
2026/09/06 14:29:39.705, 0, NVIDIA L40S, 95 %, 27633 MiB
2026/09/06 14:29:39.706, 1, NVIDIA L40S, 92 %, 27589 MiB
2026/09/06 14:29:39.706, 2, NVIDIA L40S, 97 %, 27625 MiB
2026/09/06 14:29:39.706, 3, NVIDIA L40S, 85 %, 27597 MiB
2026/09/06 14:29:49.707, 0, NVIDIA L40S, 93 %, 27633 MiB
2026/09/06 14:29:49.707, 1, NVIDIA L40S, 88 %, 27591 MiB
2026/09/06 14:29:49.707, 2, NVIDIA L40S, 97 %, 27629 MiB
2026/09/06 14:29:49.707, 3, NVIDIA L40S, 95 %, 27621 MiB
2026/09/06 14:29:59.708, 0, NVIDIA L40S, 81 %, 27703 MiB
2026/09/06 14:29:59.708, 1, NVIDIA L40S, 92 %, 27591 MiB
2026/09/06 14:29:59.708, 2, NVIDIA L40S, 94 %, 27629 MiB
2026/09/06 14:29:59.708, 3, NVIDIA L40S, 93 %, 27621 MiB
