timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 14:31:28.950, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:31:28.951, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:31:28.951, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 14:31:28.952, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 14:31:38.953, 0, NVIDIA L40S, 4 %, 17387 MiB
2026/09/06 14:31:38.953, 1, NVIDIA L40S, 26 %, 17639 MiB
2026/09/06 14:31:38.953, 2, NVIDIA L40S, 6 %, 16353 MiB
2026/09/06 14:31:38.953, 3, NVIDIA L40S, 23 %, 16353 MiB
2026/09/06 14:31:48.954, 0, NVIDIA L40S, 93 %, 29113 MiB
2026/09/06 14:31:48.954, 1, NVIDIA L40S, 71 %, 29181 MiB
2026/09/06 14:31:48.954, 2, NVIDIA L40S, 73 %, 29181 MiB
2026/09/06 14:31:48.954, 3, NVIDIA L40S, 84 %, 29181 MiB
2026/09/06 14:31:58.955, 0, NVIDIA L40S, 93 %, 29173 MiB
2026/09/06 14:31:58.955, 1, NVIDIA L40S, 92 %, 29235 MiB
2026/09/06 14:31:58.955, 2, NVIDIA L40S, 83 %, 29263 MiB
2026/09/06 14:31:58.955, 3, NVIDIA L40S, 78 %, 29181 MiB
2026/09/06 14:32:08.956, 0, NVIDIA L40S, 0 %, 29183 MiB
2026/09/06 14:32:08.956, 1, NVIDIA L40S, 93 %, 29235 MiB
2026/09/06 14:32:08.956, 2, NVIDIA L40S, 93 %, 29263 MiB
2026/09/06 14:32:08.956, 3, NVIDIA L40S, 95 %, 29239 MiB
2026/09/06 14:32:18.957, 0, NVIDIA L40S, 0 %, 29183 MiB
2026/09/06 14:32:18.958, 1, NVIDIA L40S, 0 %, 29235 MiB
2026/09/06 14:32:18.958, 2, NVIDIA L40S, 85 %, 29263 MiB
2026/09/06 14:32:18.958, 3, NVIDIA L40S, 0 %, 29239 MiB
2026/09/06 14:32:28.959, 0, NVIDIA L40S, 0 %, 29183 MiB
2026/09/06 14:32:28.959, 1, NVIDIA L40S, 0 %, 29235 MiB
2026/09/06 14:32:28.959, 2, NVIDIA L40S, 84 %, 29275 MiB
2026/09/06 14:32:28.959, 3, NVIDIA L40S, 0 %, 29239 MiB
2026/09/06 14:32:38.960, 0, NVIDIA L40S, 0 %, 29183 MiB
2026/09/06 14:32:38.960, 1, NVIDIA L40S, 0 %, 29235 MiB
2026/09/06 14:32:38.960, 2, NVIDIA L40S, 92 %, 29275 MiB
2026/09/06 14:32:38.960, 3, NVIDIA L40S, 0 %, 29239 MiB
