timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 05:50:21.721, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:50:21.721, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:50:21.721, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:50:21.722, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 05:50:31.723, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:31.723, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:31.723, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:31.723, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:41.724, 0, NVIDIA L40S, 21 %, 2063 MiB
2026/09/06 05:50:41.724, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:41.724, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:50:41.724, 3, NVIDIA L40S, 10 %, 3455 MiB
2026/09/06 05:50:51.725, 0, NVIDIA L40S, 25 %, 21051 MiB
2026/09/06 05:50:51.725, 1, NVIDIA L40S, 5 %, 10427 MiB
2026/09/06 05:50:51.725, 2, NVIDIA L40S, 21 %, 21053 MiB
2026/09/06 05:50:51.725, 3, NVIDIA L40S, 5 %, 19969 MiB
2026/09/06 05:51:01.726, 0, NVIDIA L40S, 21 %, 21053 MiB
2026/09/06 05:51:01.726, 1, NVIDIA L40S, 66 %, 21037 MiB
2026/09/06 05:51:01.726, 2, NVIDIA L40S, 36 %, 21055 MiB
2026/09/06 05:51:01.726, 3, NVIDIA L40S, 12 %, 21037 MiB
2026/09/06 05:51:11.727, 0, NVIDIA L40S, 21 %, 21053 MiB
2026/09/06 05:51:11.727, 1, NVIDIA L40S, 21 %, 21039 MiB
2026/09/06 05:51:11.727, 2, NVIDIA L40S, 39 %, 21057 MiB
2026/09/06 05:51:11.727, 3, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:51:21.728, 0, NVIDIA L40S, 81 %, 21053 MiB
2026/09/06 05:51:21.729, 1, NVIDIA L40S, 63 %, 21041 MiB
2026/09/06 05:51:21.729, 2, NVIDIA L40S, 0 %, 21059 MiB
2026/09/06 05:51:21.729, 3, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:51:31.730, 0, NVIDIA L40S, 96 %, 21053 MiB
2026/09/06 05:51:31.730, 1, NVIDIA L40S, 9 %, 21041 MiB
2026/09/06 05:51:31.730, 2, NVIDIA L40S, 61 %, 21059 MiB
2026/09/06 05:51:31.730, 3, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:51:41.731, 0, NVIDIA L40S, 30 %, 21053 MiB
2026/09/06 05:51:41.731, 1, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:51:41.731, 2, NVIDIA L40S, 20 %, 21059 MiB
2026/09/06 05:51:41.731, 3, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:51:51.732, 0, NVIDIA L40S, 21 %, 21053 MiB
2026/09/06 05:51:51.733, 1, NVIDIA L40S, 21 %, 21041 MiB
2026/09/06 05:51:51.733, 2, NVIDIA L40S, 21 %, 21059 MiB
2026/09/06 05:51:51.733, 3, NVIDIA L40S, 22 %, 21041 MiB
2026/09/06 05:52:01.733, 0, NVIDIA L40S, 21 %, 21053 MiB
2026/09/06 05:52:01.734, 1, NVIDIA L40S, 21 %, 21041 MiB
2026/09/06 05:52:01.734, 2, NVIDIA L40S, 47 %, 21059 MiB
2026/09/06 05:52:01.734, 3, NVIDIA L40S, 70 %, 21041 MiB
2026/09/06 05:52:11.734, 0, NVIDIA L40S, 52 %, 21053 MiB
2026/09/06 05:52:11.734, 1, NVIDIA L40S, 23 %, 21041 MiB
2026/09/06 05:52:11.735, 2, NVIDIA L40S, 0 %, 21059 MiB
2026/09/06 05:52:11.735, 3, NVIDIA L40S, 58 %, 21041 MiB
2026/09/06 05:52:21.735, 0, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 05:52:21.735, 1, NVIDIA L40S, 21 %, 21041 MiB
2026/09/06 05:52:21.735, 2, NVIDIA L40S, 64 %, 21059 MiB
2026/09/06 05:52:21.735, 3, NVIDIA L40S, 82 %, 21041 MiB
2026/09/06 05:52:31.736, 0, NVIDIA L40S, 21 %, 21083 MiB
2026/09/06 05:52:31.736, 1, NVIDIA L40S, 0 %, 21041 MiB
2026/09/06 05:52:31.736, 2, NVIDIA L40S, 82 %, 21081 MiB
2026/09/06 05:52:31.736, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 05:52:41.737, 0, NVIDIA L40S, 23 %, 21083 MiB
2026/09/06 05:52:41.737, 1, NVIDIA L40S, 67 %, 21083 MiB
2026/09/06 05:52:41.737, 2, NVIDIA L40S, 0 %, 21081 MiB
