timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 05:34:51.766, 0, NVIDIA L40S, 13 %, 0 MiB
2026/09/06 05:34:51.766, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:34:51.767, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:34:51.767, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:35:01.768, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:35:01.768, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:35:01.768, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:35:01.769, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:35:11.769, 0, NVIDIA L40S, 20 %, 6239 MiB
2026/09/06 05:35:11.770, 1, NVIDIA L40S, 28 %, 8419 MiB
2026/09/06 05:35:11.770, 2, NVIDIA L40S, 28 %, 6707 MiB
2026/09/06 05:35:11.770, 3, NVIDIA L40S, 17 %, 11075 MiB
2026/09/06 05:35:21.770, 0, NVIDIA L40S, 32 %, 21737 MiB
2026/09/06 05:35:21.771, 1, NVIDIA L40S, 36 %, 21723 MiB
2026/09/06 05:35:21.771, 2, NVIDIA L40S, 48 %, 21741 MiB
2026/09/06 05:35:21.771, 3, NVIDIA L40S, 77 %, 21721 MiB
2026/09/06 05:35:31.772, 0, NVIDIA L40S, 0 %, 21743 MiB
2026/09/06 05:35:31.772, 1, NVIDIA L40S, 32 %, 21727 MiB
2026/09/06 05:35:31.772, 2, NVIDIA L40S, 33 %, 21745 MiB
2026/09/06 05:35:31.772, 3, NVIDIA L40S, 32 %, 21725 MiB
2026/09/06 05:35:41.773, 0, NVIDIA L40S, 6 %, 21743 MiB
2026/09/06 05:35:41.773, 1, NVIDIA L40S, 30 %, 21727 MiB
2026/09/06 05:35:41.773, 2, NVIDIA L40S, 31 %, 21745 MiB
2026/09/06 05:35:41.773, 3, NVIDIA L40S, 82 %, 21725 MiB
2026/09/06 05:35:51.774, 0, NVIDIA L40S, 0 %, 21743 MiB
2026/09/06 05:35:51.774, 1, NVIDIA L40S, 32 %, 21727 MiB
2026/09/06 05:35:51.774, 2, NVIDIA L40S, 33 %, 21745 MiB
2026/09/06 05:35:51.774, 3, NVIDIA L40S, 71 %, 21725 MiB
2026/09/06 05:36:01.775, 0, NVIDIA L40S, 0 %, 21743 MiB
2026/09/06 05:36:01.775, 1, NVIDIA L40S, 30 %, 21727 MiB
2026/09/06 05:36:01.775, 2, NVIDIA L40S, 41 %, 21745 MiB
2026/09/06 05:36:01.775, 3, NVIDIA L40S, 88 %, 21725 MiB
2026/09/06 05:36:11.776, 0, NVIDIA L40S, 0 %, 21743 MiB
2026/09/06 05:36:11.776, 1, NVIDIA L40S, 31 %, 21727 MiB
2026/09/06 05:36:11.776, 2, NVIDIA L40S, 32 %, 21745 MiB
2026/09/06 05:36:11.776, 3, NVIDIA L40S, 35 %, 21725 MiB
2026/09/06 05:36:21.777, 0, NVIDIA L40S, 33 %, 21743 MiB
2026/09/06 05:36:21.777, 1, NVIDIA L40S, 35 %, 21727 MiB
2026/09/06 05:36:21.777, 2, NVIDIA L40S, 32 %, 21745 MiB
2026/09/06 05:36:21.777, 3, NVIDIA L40S, 51 %, 21725 MiB
2026/09/06 05:36:31.778, 0, NVIDIA L40S, 35 %, 21743 MiB
2026/09/06 05:36:31.778, 1, NVIDIA L40S, 77 %, 21727 MiB
2026/09/06 05:36:31.778, 2, NVIDIA L40S, 0 %, 21745 MiB
2026/09/06 05:36:31.778, 3, NVIDIA L40S, 32 %, 21725 MiB
2026/09/06 05:36:41.779, 0, NVIDIA L40S, 35 %, 21767 MiB
2026/09/06 05:36:41.780, 1, NVIDIA L40S, 42 %, 21727 MiB
2026/09/06 05:36:41.780, 2, NVIDIA L40S, 32 %, 21745 MiB
2026/09/06 05:36:41.780, 3, NVIDIA L40S, 66 %, 21767 MiB
2026/09/06 05:36:51.780, 0, NVIDIA L40S, 55 %, 21767 MiB
2026/09/06 05:36:51.781, 1, NVIDIA L40S, 33 %, 21769 MiB
2026/09/06 05:36:51.781, 2, NVIDIA L40S, 35 %, 21765 MiB
2026/09/06 05:36:51.781, 3, NVIDIA L40S, 56 %, 21767 MiB
2026/09/06 05:37:01.782, 0, NVIDIA L40S, 35 %, 21767 MiB
2026/09/06 05:37:01.782, 1, NVIDIA L40S, 30 %, 21769 MiB
2026/09/06 05:37:01.782, 2, NVIDIA L40S, 32 %, 21765 MiB
2026/09/06 05:37:01.782, 3, NVIDIA L40S, 98 %, 21767 MiB
2026/09/06 05:37:11.783, 0, NVIDIA L40S, 61 %, 21767 MiB
