timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 05:02:51.036, 0, NVIDIA L40S, 13 %, 0 MiB
2026/09/06 05:02:51.037, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:02:51.037, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:02:51.037, 3, NVIDIA L40S, 2 %, 0 MiB
2026/09/06 05:03:01.039, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:01.039, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:01.039, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:01.039, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:11.040, 0, NVIDIA L40S, 32 %, 14795 MiB
2026/09/06 05:03:11.040, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:11.040, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:03:11.040, 3, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 05:03:21.041, 0, NVIDIA L40S, 99 %, 21375 MiB
2026/09/06 05:03:21.041, 1, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:03:21.041, 2, NVIDIA L40S, 8 %, 19969 MiB
2026/09/06 05:03:21.041, 3, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:03:31.042, 0, NVIDIA L40S, 0 %, 21521 MiB
2026/09/06 05:03:31.043, 1, NVIDIA L40S, 26 %, 21391 MiB
2026/09/06 05:03:31.043, 2, NVIDIA L40S, 99 %, 21375 MiB
2026/09/06 05:03:31.043, 3, NVIDIA L40S, 52 %, 21521 MiB
2026/09/06 05:03:41.044, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 05:03:41.044, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 05:03:41.044, 2, NVIDIA L40S, 0 %, 21521 MiB
2026/09/06 05:03:41.044, 3, NVIDIA L40S, 0 %, 3 MiB
