timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:34:12.728, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:34:12.728, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:34:12.729, 2, NVIDIA L40S, 13 %, 0 MiB
2026/09/06 06:34:12.729, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:34:22.730, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:34:22.730, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:34:22.730, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:34:22.730, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:34:32.731, 0, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 06:34:32.731, 1, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 06:34:32.731, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:34:32.732, 3, NVIDIA L40S, 34 %, 19969 MiB
2026/09/06 06:34:42.733, 0, NVIDIA L40S, 70 %, 21053 MiB
2026/09/06 06:34:42.733, 1, NVIDIA L40S, 21 %, 21071 MiB
2026/09/06 06:34:42.733, 2, NVIDIA L40S, 22 %, 21053 MiB
2026/09/06 06:34:42.733, 3, NVIDIA L40S, 0 %, 21045 MiB
2026/09/06 06:34:52.734, 0, NVIDIA L40S, 16 %, 21081 MiB
2026/09/06 06:34:52.734, 1, NVIDIA L40S, 6 %, 21073 MiB
2026/09/06 06:34:52.734, 2, NVIDIA L40S, 51 %, 21069 MiB
2026/09/06 06:34:52.734, 3, NVIDIA L40S, 50 %, 21045 MiB
2026/09/06 06:35:02.735, 0, NVIDIA L40S, 0 %, 21081 MiB
2026/09/06 06:35:02.736, 1, NVIDIA L40S, 22 %, 21075 MiB
2026/09/06 06:35:02.736, 2, NVIDIA L40S, 0 %, 21069 MiB
2026/09/06 06:35:02.736, 3, NVIDIA L40S, 33 %, 21045 MiB
2026/09/06 06:35:12.737, 0, NVIDIA L40S, 60 %, 21081 MiB
2026/09/06 06:35:12.737, 1, NVIDIA L40S, 21 %, 21075 MiB
2026/09/06 06:35:12.737, 2, NVIDIA L40S, 78 %, 21069 MiB
2026/09/06 06:35:12.737, 3, NVIDIA L40S, 26 %, 21045 MiB
2026/09/06 06:35:22.738, 0, NVIDIA L40S, 22 %, 21081 MiB
2026/09/06 06:35:22.738, 1, NVIDIA L40S, 0 %, 21075 MiB
2026/09/06 06:35:22.738, 2, NVIDIA L40S, 88 %, 21069 MiB
2026/09/06 06:35:22.739, 3, NVIDIA L40S, 41 %, 21045 MiB
2026/09/06 06:35:32.740, 0, NVIDIA L40S, 69 %, 21081 MiB
2026/09/06 06:35:32.740, 1, NVIDIA L40S, 68 %, 21075 MiB
2026/09/06 06:35:32.740, 2, NVIDIA L40S, 28 %, 21069 MiB
2026/09/06 06:35:32.740, 3, NVIDIA L40S, 98 %, 21047 MiB
2026/09/06 06:35:42.741, 0, NVIDIA L40S, 22 %, 21081 MiB
2026/09/06 06:35:42.741, 1, NVIDIA L40S, 22 %, 21075 MiB
2026/09/06 06:35:42.741, 2, NVIDIA L40S, 88 %, 21069 MiB
2026/09/06 06:35:42.741, 3, NVIDIA L40S, 99 %, 21047 MiB
2026/09/06 06:35:52.742, 0, NVIDIA L40S, 24 %, 21085 MiB
2026/09/06 06:35:52.742, 1, NVIDIA L40S, 21 %, 21075 MiB
2026/09/06 06:35:52.742, 2, NVIDIA L40S, 44 %, 21079 MiB
2026/09/06 06:35:52.742, 3, NVIDIA L40S, 20 %, 21047 MiB
2026/09/06 06:36:02.743, 0, NVIDIA L40S, 80 %, 21085 MiB
2026/09/06 06:36:02.743, 1, NVIDIA L40S, 83 %, 21083 MiB
2026/09/06 06:36:02.743, 2, NVIDIA L40S, 21 %, 21083 MiB
2026/09/06 06:36:02.743, 3, NVIDIA L40S, 24 %, 21081 MiB
2026/09/06 06:36:12.744, 0, NVIDIA L40S, 24 %, 21085 MiB
2026/09/06 06:36:12.744, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:36:12.744, 2, NVIDIA L40S, 44 %, 21083 MiB
2026/09/06 06:36:12.745, 3, NVIDIA L40S, 21 %, 21081 MiB
2026/09/06 06:36:22.745, 0, NVIDIA L40S, 72 %, 21085 MiB
2026/09/06 06:36:22.746, 1, NVIDIA L40S, 44 %, 21087 MiB
2026/09/06 06:36:22.746, 2, NVIDIA L40S, 66 %, 21083 MiB
2026/09/06 06:36:22.746, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:36:32.747, 0, NVIDIA L40S, 24 %, 21085 MiB
2026/09/06 06:36:32.747, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:36:32.747, 2, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:36:32.747, 3, NVIDIA L40S, 73 %, 21083 MiB
2026/09/06 06:36:42.748, 0, NVIDIA L40S, 25 %, 21085 MiB
2026/09/06 06:36:42.748, 1, NVIDIA L40S, 74 %, 21087 MiB
2026/09/06 06:36:42.748, 2, NVIDIA L40S, 98 %, 21083 MiB
2026/09/06 06:36:42.748, 3, NVIDIA L40S, 61 %, 21083 MiB
2026/09/06 06:36:52.749, 0, NVIDIA L40S, 24 %, 21085 MiB
2026/09/06 06:36:52.749, 1, NVIDIA L40S, 80 %, 21087 MiB
2026/09/06 06:36:52.750, 2, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 06:36:52.750, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:37:02.751, 0, NVIDIA L40S, 99 %, 21085 MiB
2026/09/06 06:37:02.751, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:37:02.751, 2, NVIDIA L40S, 80 %, 21083 MiB
2026/09/06 06:37:02.751, 3, NVIDIA L40S, 20 %, 21083 MiB
2026/09/06 06:37:12.752, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 06:37:12.752, 1, NVIDIA L40S, 98 %, 21087 MiB
2026/09/06 06:37:12.752, 2, NVIDIA L40S, 30 %, 21083 MiB
2026/09/06 06:37:12.752, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:37:22.753, 0, NVIDIA L40S, 59 %, 21085 MiB
2026/09/06 06:37:22.753, 1, NVIDIA L40S, 21 %, 21087 MiB
2026/09/06 06:37:22.753, 2, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:37:22.753, 3, NVIDIA L40S, 26 %, 21083 MiB
2026/09/06 06:37:32.754, 0, NVIDIA L40S, 89 %, 21085 MiB
2026/09/06 06:37:32.755, 1, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:37:32.755, 2, NVIDIA L40S, 53 %, 21085 MiB
2026/09/06 06:37:32.755, 3, NVIDIA L40S, 37 %, 21091 MiB
2026/09/06 06:37:42.756, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 06:37:42.756, 1, NVIDIA L40S, 69 %, 21087 MiB
2026/09/06 06:37:42.756, 2, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:37:42.756, 3, NVIDIA L40S, 46 %, 21091 MiB
2026/09/06 06:37:52.757, 0, NVIDIA L40S, 99 %, 21085 MiB
2026/09/06 06:37:52.757, 1, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:37:52.757, 2, NVIDIA L40S, 72 %, 21085 MiB
2026/09/06 06:37:52.757, 3, NVIDIA L40S, 21 %, 21091 MiB
2026/09/06 06:38:02.758, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:38:02.758, 1, NVIDIA L40S, 50 %, 21087 MiB
2026/09/06 06:38:02.758, 2, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:38:02.758, 3, NVIDIA L40S, 79 %, 21093 MiB
2026/09/06 06:38:12.759, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:38:12.760, 1, NVIDIA L40S, 81 %, 21087 MiB
2026/09/06 06:38:12.760, 2, NVIDIA L40S, 59 %, 21087 MiB
2026/09/06 06:38:12.760, 3, NVIDIA L40S, 80 %, 21093 MiB
2026/09/06 06:38:22.761, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:38:22.761, 1, NVIDIA L40S, 48 %, 21087 MiB
2026/09/06 06:38:22.761, 2, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:38:22.761, 3, NVIDIA L40S, 28 %, 21093 MiB
2026/09/06 06:38:32.762, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:38:32.762, 1, NVIDIA L40S, 73 %, 21087 MiB
2026/09/06 06:38:32.762, 2, NVIDIA L40S, 25 %, 21087 MiB
2026/09/06 06:38:32.762, 3, NVIDIA L40S, 29 %, 21093 MiB
2026/09/06 06:38:42.764, 0, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:38:42.764, 1, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:38:42.764, 2, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:38:42.764, 3, NVIDIA L40S, 20 %, 21093 MiB
2026/09/06 06:38:52.765, 0, NVIDIA L40S, 67 %, 21085 MiB
2026/09/06 06:38:52.765, 1, NVIDIA L40S, 68 %, 21087 MiB
2026/09/06 06:38:52.765, 2, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:38:52.765, 3, NVIDIA L40S, 25 %, 21093 MiB
2026/09/06 06:39:02.766, 0, NVIDIA L40S, 21 %, 21085 MiB
2026/09/06 06:39:02.766, 1, NVIDIA L40S, 79 %, 21087 MiB
2026/09/06 06:39:02.767, 2, NVIDIA L40S, 66 %, 21087 MiB
2026/09/06 06:39:02.767, 3, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 06:39:12.768, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:39:12.768, 1, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:39:12.768, 2, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:39:12.768, 3, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 06:39:22.769, 0, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:39:22.769, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:39:22.769, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:22.769, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:32.770, 0, NVIDIA L40S, 100 %, 3 MiB
2026/09/06 06:39:32.771, 1, NVIDIA L40S, 98 %, 21087 MiB
2026/09/06 06:39:32.771, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:32.771, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:42.772, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:42.772, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:39:42.772, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:39:42.772, 3, NVIDIA L40S, 0 %, 3 MiB
