timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:16:38.167, 0, NVIDIA L40S, 6 %, 0 MiB
2026/09/06 06:16:38.168, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:16:38.168, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:16:38.168, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 06:16:48.170, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:48.170, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:48.170, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:48.170, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:58.171, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:58.171, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:58.171, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:16:58.171, 3, NVIDIA L40S, 10 %, 13595 MiB
2026/09/06 06:17:08.172, 0, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 06:17:08.172, 1, NVIDIA L40S, 4 %, 19969 MiB
2026/09/06 06:17:08.172, 2, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 06:17:08.172, 3, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 06:17:18.173, 0, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 06:17:18.173, 1, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:18.173, 2, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:18.173, 3, NVIDIA L40S, 94 %, 33893 MiB
2026/09/06 06:17:28.174, 0, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:28.174, 1, NVIDIA L40S, 93 %, 33893 MiB
2026/09/06 06:17:28.174, 2, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 06:17:28.174, 3, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:38.175, 0, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 06:17:38.175, 1, NVIDIA L40S, 96 %, 33893 MiB
2026/09/06 06:17:38.175, 2, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:38.175, 3, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:48.176, 0, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 06:17:48.176, 1, NVIDIA L40S, 98 %, 33893 MiB
2026/09/06 06:17:48.176, 2, NVIDIA L40S, 93 %, 33893 MiB
