timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 05:14:59.801, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 05:14:59.802, 1, NVIDIA L40S, 6 %, 0 MiB
2026/09/06 05:14:59.802, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:14:59.803, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 05:15:09.804, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:15:09.804, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:15:09.804, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:15:09.804, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:15:19.805, 0, NVIDIA L40S, 27 %, 7079 MiB
2026/09/06 05:15:19.805, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:15:19.805, 2, NVIDIA L40S, 4 %, 19969 MiB
2026/09/06 05:15:19.805, 3, NVIDIA L40S, 24 %, 5783 MiB
2026/09/06 05:15:29.806, 0, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:15:29.806, 1, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:15:29.806, 2, NVIDIA L40S, 97 %, 33893 MiB
2026/09/06 05:15:29.806, 3, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:15:39.807, 0, NVIDIA L40S, 99 %, 32109 MiB
2026/09/06 05:15:39.807, 1, NVIDIA L40S, 97 %, 32109 MiB
2026/09/06 05:15:39.807, 2, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 05:15:39.807, 3, NVIDIA L40S, 97 %, 33893 MiB
2026/09/06 05:15:49.808, 0, NVIDIA L40S, 99 %, 32109 MiB
2026/09/06 05:15:49.808, 1, NVIDIA L40S, 96 %, 32109 MiB
2026/09/06 05:15:49.808, 2, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:15:49.808, 3, NVIDIA L40S, 92 %, 33893 MiB
2026/09/06 05:15:59.809, 0, NVIDIA L40S, 100 %, 32109 MiB
2026/09/06 05:15:59.809, 1, NVIDIA L40S, 99 %, 32109 MiB
2026/09/06 05:15:59.809, 2, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:15:59.809, 3, NVIDIA L40S, 97 %, 33893 MiB
2026/09/06 05:16:09.810, 0, NVIDIA L40S, 100 %, 32109 MiB
2026/09/06 05:16:09.810, 1, NVIDIA L40S, 97 %, 32109 MiB
2026/09/06 05:16:09.810, 2, NVIDIA L40S, 96 %, 33893 MiB
2026/09/06 05:16:09.810, 3, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:16:19.811, 0, NVIDIA L40S, 4 %, 32109 MiB
2026/09/06 05:16:19.811, 1, NVIDIA L40S, 95 %, 32109 MiB
2026/09/06 05:16:19.811, 2, NVIDIA L40S, 37 %, 33893 MiB
2026/09/06 05:16:19.811, 3, NVIDIA L40S, 92 %, 33893 MiB
2026/09/06 05:16:29.812, 0, NVIDIA L40S, 0 %, 32109 MiB
2026/09/06 05:16:29.812, 1, NVIDIA L40S, 0 %, 32109 MiB
2026/09/06 05:16:29.812, 2, NVIDIA L40S, 0 %, 35237 MiB
2026/09/06 05:16:29.812, 3, NVIDIA L40S, 0 %, 33893 MiB
2026/09/06 05:16:39.813, 0, NVIDIA L40S, 98 %, 23491 MiB
2026/09/06 05:16:39.813, 1, NVIDIA L40S, 0 %, 33453 MiB
2026/09/06 05:16:39.813, 2, NVIDIA L40S, 99 %, 24611 MiB
2026/09/06 05:16:39.813, 3, NVIDIA L40S, 0 %, 35237 MiB
2026/09/06 05:16:49.814, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 05:16:49.814, 1, NVIDIA L40S, 99 %, 23499 MiB
2026/09/06 05:16:49.814, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 05:16:49.814, 3, NVIDIA L40S, 67 %, 24641 MiB
