timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 04:54:13.853, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:54:13.854, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:54:13.854, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:54:13.855, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 04:54:23.856, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:23.856, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:23.856, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:23.856, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:33.857, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:33.857, 1, NVIDIA L40S, 19 %, 2859 MiB
2026/09/06 04:54:33.857, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:54:33.857, 3, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 04:54:43.859, 0, NVIDIA L40S, 22 %, 14763 MiB
2026/09/06 04:54:43.859, 1, NVIDIA L40S, 14 %, 13967 MiB
2026/09/06 04:54:43.859, 2, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 04:54:43.859, 3, NVIDIA L40S, 7 %, 19969 MiB
2026/09/06 04:54:53.860, 0, NVIDIA L40S, 0 %, 20035 MiB
2026/09/06 04:54:53.860, 1, NVIDIA L40S, 78 %, 21373 MiB
2026/09/06 04:54:53.860, 2, NVIDIA L40S, 98 %, 21381 MiB
2026/09/06 04:54:53.860, 3, NVIDIA L40S, 99 %, 21379 MiB
2026/09/06 04:55:03.861, 0, NVIDIA L40S, 98 %, 21429 MiB
2026/09/06 04:55:03.861, 1, NVIDIA L40S, 99 %, 21429 MiB
2026/09/06 04:55:03.861, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:55:03.861, 3, NVIDIA L40S, 58 %, 3 MiB
