timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 04:47:24.337, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:47:24.338, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:47:24.338, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:47:24.339, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:47:34.340, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:47:34.340, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:47:34.340, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:47:34.340, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:47:44.341, 0, NVIDIA L40S, 12 %, 3359 MiB
2026/09/06 04:47:44.341, 1, NVIDIA L40S, 3 %, 2115 MiB
2026/09/06 04:47:44.341, 2, NVIDIA L40S, 25 %, 4943 MiB
2026/09/06 04:47:44.341, 3, NVIDIA L40S, 5 %, 1689 MiB
2026/09/06 04:47:54.342, 0, NVIDIA L40S, 3 %, 19969 MiB
2026/09/06 04:47:54.342, 1, NVIDIA L40S, 0 %, 28429 MiB
2026/09/06 04:47:54.342, 2, NVIDIA L40S, 0 %, 30221 MiB
2026/09/06 04:47:54.342, 3, NVIDIA L40S, 10 %, 17157 MiB
2026/09/06 04:48:04.343, 0, NVIDIA L40S, 0 %, 28429 MiB
2026/09/06 04:48:04.343, 1, NVIDIA L40S, 0 %, 28429 MiB
2026/09/06 04:48:04.343, 2, NVIDIA L40S, 0 %, 30221 MiB
2026/09/06 04:48:04.343, 3, NVIDIA L40S, 0 %, 30221 MiB
2026/09/06 04:48:14.344, 0, NVIDIA L40S, 0 %, 29773 MiB
2026/09/06 04:48:14.344, 1, NVIDIA L40S, 0 %, 29773 MiB
2026/09/06 04:48:14.344, 2, NVIDIA L40S, 0 %, 31565 MiB
2026/09/06 04:48:14.344, 3, NVIDIA L40S, 0 %, 30221 MiB
2026/09/06 04:48:24.345, 0, NVIDIA L40S, 36 %, 23991 MiB
2026/09/06 04:48:24.345, 1, NVIDIA L40S, 64 %, 24017 MiB
2026/09/06 04:48:24.345, 2, NVIDIA L40S, 33 %, 26021 MiB
2026/09/06 04:48:24.346, 3, NVIDIA L40S, 99 %, 25985 MiB
2026/09/06 04:48:34.347, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:48:34.347, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:48:34.347, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:48:34.347, 3, NVIDIA L40S, 0 %, 3 MiB
