timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:23:45.691, 0, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 07:23:45.692, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:23:45.692, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:23:45.692, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:23:55.693, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:23:55.694, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:23:55.694, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:23:55.694, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:24:05.695, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:24:05.695, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:24:05.695, 2, NVIDIA L40S, 4 %, 1689 MiB
2026/09/06 07:24:05.695, 3, NVIDIA L40S, 28 %, 10331 MiB
2026/09/06 07:24:15.696, 0, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:24:15.696, 1, NVIDIA L40S, 66 %, 21007 MiB
2026/09/06 07:24:15.696, 2, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:24:15.696, 3, NVIDIA L40S, 39 %, 21037 MiB
2026/09/06 07:24:25.697, 0, NVIDIA L40S, 0 %, 21047 MiB
2026/09/06 07:24:25.698, 1, NVIDIA L40S, 0 %, 21043 MiB
2026/09/06 07:24:25.698, 2, NVIDIA L40S, 21 %, 21057 MiB
2026/09/06 07:24:25.698, 3, NVIDIA L40S, 54 %, 21039 MiB
2026/09/06 07:24:35.699, 0, NVIDIA L40S, 22 %, 21063 MiB
2026/09/06 07:24:35.699, 1, NVIDIA L40S, 34 %, 21077 MiB
2026/09/06 07:24:35.699, 2, NVIDIA L40S, 21 %, 21057 MiB
2026/09/06 07:24:35.699, 3, NVIDIA L40S, 32 %, 21083 MiB
2026/09/06 07:24:45.700, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 07:24:45.700, 1, NVIDIA L40S, 27 %, 21093 MiB
2026/09/06 07:24:45.700, 2, NVIDIA L40S, 63 %, 21081 MiB
2026/09/06 07:24:45.700, 3, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:24:55.701, 0, NVIDIA L40S, 99 %, 21085 MiB
2026/09/06 07:24:55.702, 1, NVIDIA L40S, 24 %, 21093 MiB
2026/09/06 07:24:55.702, 2, NVIDIA L40S, 24 %, 21091 MiB
2026/09/06 07:24:55.702, 3, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:25:05.703, 0, NVIDIA L40S, 99 %, 21085 MiB
2026/09/06 07:25:05.703, 1, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:25:05.703, 2, NVIDIA L40S, 25 %, 21091 MiB
2026/09/06 07:25:05.703, 3, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:25:15.704, 0, NVIDIA L40S, 40 %, 21085 MiB
2026/09/06 07:25:15.704, 1, NVIDIA L40S, 99 %, 21093 MiB
