timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 08:31:31.424, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 08:31:31.425, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 08:31:31.425, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 08:31:31.426, 3, NVIDIA L40S, 4 %, 0 MiB
2026/09/06 08:31:41.427, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:41.427, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:41.427, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:41.427, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:51.428, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:51.428, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:31:51.428, 2, NVIDIA L40S, 12 %, 2615 MiB
2026/09/06 08:31:51.428, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 08:32:01.429, 0, NVIDIA L40S, 10 %, 19969 MiB
2026/09/06 08:32:01.429, 1, NVIDIA L40S, 8 %, 14147 MiB
2026/09/06 08:32:01.429, 2, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 08:32:01.429, 3, NVIDIA L40S, 15 %, 16463 MiB
2026/09/06 08:32:11.430, 0, NVIDIA L40S, 42 %, 21079 MiB
2026/09/06 08:32:11.430, 1, NVIDIA L40S, 73 %, 21011 MiB
2026/09/06 08:32:11.431, 2, NVIDIA L40S, 87 %, 21035 MiB
2026/09/06 08:32:11.431, 3, NVIDIA L40S, 83 %, 21015 MiB
2026/09/06 08:32:21.432, 0, NVIDIA L40S, 88 %, 21079 MiB
2026/09/06 08:32:21.432, 1, NVIDIA L40S, 20 %, 21037 MiB
2026/09/06 08:32:21.432, 2, NVIDIA L40S, 21 %, 21047 MiB
2026/09/06 08:32:21.432, 3, NVIDIA L40S, 0 %, 21047 MiB
2026/09/06 08:32:31.433, 0, NVIDIA L40S, 24 %, 21085 MiB
2026/09/06 08:32:31.433, 1, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 08:32:31.433, 2, NVIDIA L40S, 99 %, 21077 MiB
2026/09/06 08:32:31.433, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 08:32:41.434, 0, NVIDIA L40S, 25 %, 21085 MiB
2026/09/06 08:32:41.435, 1, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 08:32:41.435, 2, NVIDIA L40S, 99 %, 21077 MiB
2026/09/06 08:32:41.435, 3, NVIDIA L40S, 23 %, 21091 MiB
2026/09/06 08:32:51.436, 0, NVIDIA L40S, 89 %, 21085 MiB
2026/09/06 08:32:51.436, 1, NVIDIA L40S, 21 %, 21083 MiB
2026/09/06 08:32:51.436, 2, NVIDIA L40S, 21 %, 21077 MiB
2026/09/06 08:32:51.436, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 08:33:01.437, 0, NVIDIA L40S, 27 %, 21085 MiB
2026/09/06 08:33:01.437, 1, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 08:33:01.438, 2, NVIDIA L40S, 89 %, 21081 MiB
2026/09/06 08:33:01.438, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 08:33:11.439, 0, NVIDIA L40S, 42 %, 21085 MiB
2026/09/06 08:33:11.439, 1, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 08:33:11.439, 2, NVIDIA L40S, 23 %, 21095 MiB
2026/09/06 08:33:11.439, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 08:33:21.440, 0, NVIDIA L40S, 30 %, 21085 MiB
2026/09/06 08:33:21.440, 1, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 08:33:21.440, 2, NVIDIA L40S, 48 %, 21095 MiB
