timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:52:45.500, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 07:52:45.501, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:52:45.501, 2, NVIDIA L40S, 4 %, 0 MiB
2026/09/06 07:52:45.501, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:52:55.503, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:52:55.503, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:52:55.503, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:52:55.503, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:53:05.504, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:53:05.504, 1, NVIDIA L40S, 11 %, 1689 MiB
2026/09/06 07:53:05.504, 2, NVIDIA L40S, 7 %, 2519 MiB
2026/09/06 07:53:05.504, 3, NVIDIA L40S, 4 %, 1689 MiB
2026/09/06 07:53:15.505, 0, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:53:15.505, 1, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:53:15.505, 2, NVIDIA L40S, 22 %, 21021 MiB
2026/09/06 07:53:15.505, 3, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:53:25.506, 0, NVIDIA L40S, 0 %, 21039 MiB
2026/09/06 07:53:25.506, 1, NVIDIA L40S, 0 %, 21059 MiB
2026/09/06 07:53:25.506, 2, NVIDIA L40S, 0 %, 21055 MiB
2026/09/06 07:53:25.506, 3, NVIDIA L40S, 68 %, 20985 MiB
2026/09/06 07:53:35.507, 0, NVIDIA L40S, 21 %, 21079 MiB
2026/09/06 07:53:35.507, 1, NVIDIA L40S, 22 %, 21075 MiB
2026/09/06 07:53:35.507, 2, NVIDIA L40S, 34 %, 21083 MiB
2026/09/06 07:53:35.507, 3, NVIDIA L40S, 78 %, 20985 MiB
2026/09/06 07:53:45.508, 0, NVIDIA L40S, 51 %, 21093 MiB
2026/09/06 07:53:45.508, 1, NVIDIA L40S, 23 %, 21091 MiB
2026/09/06 07:53:45.508, 2, NVIDIA L40S, 73 %, 21091 MiB
2026/09/06 07:53:45.508, 3, NVIDIA L40S, 26 %, 20985 MiB
2026/09/06 07:53:55.509, 0, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:53:55.509, 1, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:53:55.509, 2, NVIDIA L40S, 60 %, 21091 MiB
2026/09/06 07:53:55.509, 3, NVIDIA L40S, 67 %, 20985 MiB
2026/09/06 07:54:05.510, 0, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:54:05.510, 1, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:05.510, 2, NVIDIA L40S, 26 %, 21091 MiB
2026/09/06 07:54:05.510, 3, NVIDIA L40S, 70 %, 20985 MiB
2026/09/06 07:54:15.511, 0, NVIDIA L40S, 98 %, 21093 MiB
2026/09/06 07:54:15.512, 1, NVIDIA L40S, 0 %, 21091 MiB
2026/09/06 07:54:15.512, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:15.512, 3, NVIDIA L40S, 29 %, 20985 MiB
2026/09/06 07:54:25.513, 0, NVIDIA L40S, 99 %, 21093 MiB
2026/09/06 07:54:25.513, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:25.513, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:25.513, 3, NVIDIA L40S, 43 %, 20985 MiB
2026/09/06 07:54:35.514, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:35.514, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:35.514, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:35.514, 3, NVIDIA L40S, 81 %, 20985 MiB
2026/09/06 07:54:45.515, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:45.515, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:45.515, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:45.516, 3, NVIDIA L40S, 33 %, 20985 MiB
2026/09/06 07:54:55.517, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:55.517, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:54:55.517, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:54:55.517, 3, NVIDIA L40S, 57 %, 20985 MiB
2026/09/06 07:55:05.518, 0, NVIDIA L40S, 0 %, 3 MiB
