timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:14:44.146, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:14:44.147, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:14:44.147, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:14:44.147, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:14:54.148, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:14:54.149, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:14:54.149, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:14:54.149, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:15:04.149, 0, NVIDIA L40S, 11 %, 2987 MiB
2026/09/06 07:15:04.150, 1, NVIDIA L40S, 13 %, 1689 MiB
2026/09/06 07:15:04.150, 2, NVIDIA L40S, 9 %, 2519 MiB
2026/09/06 07:15:04.150, 3, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:15:14.150, 0, NVIDIA L40S, 6 %, 20939 MiB
2026/09/06 07:15:14.151, 1, NVIDIA L40S, 42 %, 21011 MiB
2026/09/06 07:15:14.151, 2, NVIDIA L40S, 6 %, 16463 MiB
2026/09/06 07:15:14.151, 3, NVIDIA L40S, 82 %, 21071 MiB
2026/09/06 07:15:24.151, 0, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 07:15:24.152, 1, NVIDIA L40S, 24 %, 21043 MiB
2026/09/06 07:15:24.152, 2, NVIDIA L40S, 73 %, 21031 MiB
2026/09/06 07:15:24.152, 3, NVIDIA L40S, 38 %, 21071 MiB
2026/09/06 07:15:34.152, 0, NVIDIA L40S, 79 %, 21083 MiB
2026/09/06 07:15:34.153, 1, NVIDIA L40S, 21 %, 21087 MiB
2026/09/06 07:15:34.153, 2, NVIDIA L40S, 0 %, 21059 MiB
2026/09/06 07:15:34.153, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 07:15:44.153, 0, NVIDIA L40S, 46 %, 21087 MiB
2026/09/06 07:15:44.154, 1, NVIDIA L40S, 23 %, 21097 MiB
2026/09/06 07:15:44.154, 2, NVIDIA L40S, 70 %, 21081 MiB
2026/09/06 07:15:44.154, 3, NVIDIA L40S, 87 %, 21091 MiB
2026/09/06 07:15:54.154, 0, NVIDIA L40S, 26 %, 21087 MiB
2026/09/06 07:15:54.154, 1, NVIDIA L40S, 98 %, 21097 MiB
2026/09/06 07:15:54.154, 2, NVIDIA L40S, 24 %, 21091 MiB
2026/09/06 07:15:54.154, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:04.155, 0, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 07:16:04.155, 1, NVIDIA L40S, 99 %, 21097 MiB
2026/09/06 07:16:04.155, 2, NVIDIA L40S, 73 %, 21091 MiB
2026/09/06 07:16:04.155, 3, NVIDIA L40S, 98 %, 21091 MiB
2026/09/06 07:16:14.156, 0, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 07:16:14.156, 1, NVIDIA L40S, 99 %, 21097 MiB
2026/09/06 07:16:14.156, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:14.156, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:24.157, 0, NVIDIA L40S, 98 %, 21087 MiB
2026/09/06 07:16:24.157, 1, NVIDIA L40S, 98 %, 21097 MiB
2026/09/06 07:16:24.157, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:24.157, 3, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:34.158, 0, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 07:16:34.158, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:34.158, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:16:34.158, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:44.159, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:44.159, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:44.159, 2, NVIDIA L40S, 98 %, 21091 MiB
2026/09/06 07:16:44.159, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:54.160, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:54.160, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:16:54.161, 2, NVIDIA L40S, 98 %, 21091 MiB
2026/09/06 07:16:54.161, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:17:04.162, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:17:04.162, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:17:04.162, 2, NVIDIA L40S, 99 %, 21091 MiB
2026/09/06 07:17:04.162, 3, NVIDIA L40S, 0 %, 3 MiB
