timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 05:20:38.645, 0, NVIDIA L40S, 13 %, 0 MiB
2026/09/06 05:20:38.645, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:20:38.646, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:20:38.646, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 05:20:48.647, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:20:48.647, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:20:48.648, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:20:48.648, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:20:58.649, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:20:58.649, 1, NVIDIA L40S, 21 %, 2467 MiB
2026/09/06 05:20:58.649, 2, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 05:20:58.649, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 05:21:08.650, 0, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:21:08.650, 1, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:21:08.650, 2, NVIDIA L40S, 3 %, 19969 MiB
2026/09/06 05:21:08.650, 3, NVIDIA L40S, 0 %, 19969 MiB
2026/09/06 05:21:18.651, 0, NVIDIA L40S, 100 %, 32109 MiB
2026/09/06 05:21:18.651, 1, NVIDIA L40S, 97 %, 32109 MiB
2026/09/06 05:21:18.651, 2, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 05:21:18.651, 3, NVIDIA L40S, 97 %, 33893 MiB
2026/09/06 05:21:28.652, 0, NVIDIA L40S, 96 %, 32109 MiB
2026/09/06 05:21:28.652, 1, NVIDIA L40S, 99 %, 32109 MiB
2026/09/06 05:21:28.652, 2, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:21:28.652, 3, NVIDIA L40S, 93 %, 33893 MiB
2026/09/06 05:21:38.653, 0, NVIDIA L40S, 96 %, 32109 MiB
2026/09/06 05:21:38.653, 1, NVIDIA L40S, 97 %, 32109 MiB
2026/09/06 05:21:38.654, 2, NVIDIA L40S, 93 %, 33893 MiB
2026/09/06 05:21:38.654, 3, NVIDIA L40S, 96 %, 33893 MiB
2026/09/06 05:21:48.654, 0, NVIDIA L40S, 93 %, 32109 MiB
2026/09/06 05:21:48.655, 1, NVIDIA L40S, 100 %, 32109 MiB
2026/09/06 05:21:48.655, 2, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:21:48.655, 3, NVIDIA L40S, 100 %, 33893 MiB
2026/09/06 05:21:58.655, 0, NVIDIA L40S, 93 %, 32109 MiB
2026/09/06 05:21:58.656, 1, NVIDIA L40S, 0 %, 32109 MiB
2026/09/06 05:21:58.656, 2, NVIDIA L40S, 96 %, 33893 MiB
2026/09/06 05:21:58.656, 3, NVIDIA L40S, 99 %, 33893 MiB
2026/09/06 05:22:08.657, 0, NVIDIA L40S, 0 %, 32109 MiB
2026/09/06 05:22:08.657, 1, NVIDIA L40S, 0 %, 32109 MiB
2026/09/06 05:22:08.657, 2, NVIDIA L40S, 0 %, 33893 MiB
2026/09/06 05:22:08.657, 3, NVIDIA L40S, 0 %, 33893 MiB
2026/09/06 05:22:18.658, 0, NVIDIA L40S, 0 %, 33453 MiB
2026/09/06 05:22:18.658, 1, NVIDIA L40S, 0 %, 33453 MiB
2026/09/06 05:22:18.658, 2, NVIDIA L40S, 0 %, 35237 MiB
2026/09/06 05:22:18.658, 3, NVIDIA L40S, 0 %, 35237 MiB
2026/09/06 05:22:28.659, 0, NVIDIA L40S, 97 %, 23499 MiB
2026/09/06 05:22:28.660, 1, NVIDIA L40S, 0 %, 23541 MiB
2026/09/06 05:22:28.660, 2, NVIDIA L40S, 98 %, 24611 MiB
2026/09/06 05:22:28.660, 3, NVIDIA L40S, 99 %, 24611 MiB
