timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 06:06:10.216, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:06:10.217, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:06:10.217, 2, NVIDIA L40S, 13 %, 0 MiB
2026/09/06 06:06:10.218, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 06:06:20.219, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:06:20.219, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:06:20.219, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:06:20.219, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:06:30.220, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 06:06:30.220, 1, NVIDIA L40S, 19 %, 6707 MiB
2026/09/06 06:06:30.220, 2, NVIDIA L40S, 0 %, 1689 MiB
2026/09/06 06:06:30.220, 3, NVIDIA L40S, 23 %, 1689 MiB
2026/09/06 06:06:40.221, 0, NVIDIA L40S, 21 %, 21079 MiB
2026/09/06 06:06:40.221, 1, NVIDIA L40S, 21 %, 21071 MiB
2026/09/06 06:06:40.221, 2, NVIDIA L40S, 49 %, 21069 MiB
2026/09/06 06:06:40.221, 3, NVIDIA L40S, 21 %, 21045 MiB
2026/09/06 06:06:50.222, 0, NVIDIA L40S, 35 %, 21081 MiB
2026/09/06 06:06:50.223, 1, NVIDIA L40S, 44 %, 21073 MiB
2026/09/06 06:06:50.223, 2, NVIDIA L40S, 22 %, 21069 MiB
2026/09/06 06:06:50.223, 3, NVIDIA L40S, 22 %, 21047 MiB
2026/09/06 06:07:00.224, 0, NVIDIA L40S, 65 %, 21081 MiB
2026/09/06 06:07:00.224, 1, NVIDIA L40S, 0 %, 21075 MiB
2026/09/06 06:07:00.224, 2, NVIDIA L40S, 0 %, 21073 MiB
2026/09/06 06:07:00.224, 3, NVIDIA L40S, 81 %, 21047 MiB
2026/09/06 06:07:10.225, 0, NVIDIA L40S, 0 %, 21081 MiB
2026/09/06 06:07:10.225, 1, NVIDIA L40S, 20 %, 21075 MiB
2026/09/06 06:07:10.225, 2, NVIDIA L40S, 0 %, 21073 MiB
2026/09/06 06:07:10.226, 3, NVIDIA L40S, 44 %, 21047 MiB
2026/09/06 06:07:20.227, 0, NVIDIA L40S, 0 %, 21081 MiB
2026/09/06 06:07:20.227, 1, NVIDIA L40S, 61 %, 21075 MiB
2026/09/06 06:07:20.227, 2, NVIDIA L40S, 22 %, 21073 MiB
2026/09/06 06:07:20.227, 3, NVIDIA L40S, 58 %, 21047 MiB
2026/09/06 06:07:30.228, 0, NVIDIA L40S, 22 %, 21081 MiB
2026/09/06 06:07:30.228, 1, NVIDIA L40S, 0 %, 21075 MiB
2026/09/06 06:07:30.228, 2, NVIDIA L40S, 36 %, 21073 MiB
2026/09/06 06:07:30.228, 3, NVIDIA L40S, 0 %, 21047 MiB
2026/09/06 06:07:40.229, 0, NVIDIA L40S, 52 %, 21081 MiB
2026/09/06 06:07:40.230, 1, NVIDIA L40S, 46 %, 21075 MiB
2026/09/06 06:07:40.230, 2, NVIDIA L40S, 75 %, 21073 MiB
2026/09/06 06:07:40.230, 3, NVIDIA L40S, 0 %, 21047 MiB
2026/09/06 06:07:50.231, 0, NVIDIA L40S, 88 %, 21081 MiB
2026/09/06 06:07:50.231, 1, NVIDIA L40S, 20 %, 21075 MiB
2026/09/06 06:07:50.231, 2, NVIDIA L40S, 0 %, 21073 MiB
2026/09/06 06:07:50.231, 3, NVIDIA L40S, 0 %, 21047 MiB
2026/09/06 06:08:00.232, 0, NVIDIA L40S, 0 %, 21081 MiB
2026/09/06 06:08:00.232, 1, NVIDIA L40S, 34 %, 21075 MiB
2026/09/06 06:08:00.232, 2, NVIDIA L40S, 0 %, 21073 MiB
2026/09/06 06:08:00.232, 3, NVIDIA L40S, 21 %, 21047 MiB
2026/09/06 06:08:10.234, 0, NVIDIA L40S, 0 %, 21081 MiB
2026/09/06 06:08:10.234, 1, NVIDIA L40S, 22 %, 21075 MiB
2026/09/06 06:08:10.234, 2, NVIDIA L40S, 62 %, 21073 MiB
2026/09/06 06:08:10.234, 3, NVIDIA L40S, 44 %, 21057 MiB
2026/09/06 06:08:20.235, 0, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:08:20.235, 1, NVIDIA L40S, 0 %, 21075 MiB
2026/09/06 06:08:20.235, 2, NVIDIA L40S, 67 %, 21079 MiB
2026/09/06 06:08:20.235, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:08:30.236, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:08:30.236, 1, NVIDIA L40S, 21 %, 21075 MiB
2026/09/06 06:08:30.236, 2, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:08:30.236, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:08:40.237, 0, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:08:40.238, 1, NVIDIA L40S, 48 %, 21075 MiB
2026/09/06 06:08:40.238, 2, NVIDIA L40S, 23 %, 21083 MiB
2026/09/06 06:08:40.238, 3, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 06:08:50.239, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:08:50.239, 1, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:08:50.239, 2, NVIDIA L40S, 51 %, 21083 MiB
2026/09/06 06:08:50.239, 3, NVIDIA L40S, 98 %, 21083 MiB
2026/09/06 06:09:00.240, 0, NVIDIA L40S, 89 %, 21085 MiB
2026/09/06 06:09:00.240, 1, NVIDIA L40S, 21 %, 21087 MiB
2026/09/06 06:09:00.240, 2, NVIDIA L40S, 23 %, 21083 MiB
2026/09/06 06:09:00.240, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:09:10.241, 0, NVIDIA L40S, 88 %, 21085 MiB
2026/09/06 06:09:10.242, 1, NVIDIA L40S, 83 %, 21087 MiB
2026/09/06 06:09:10.242, 2, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:09:10.242, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:09:20.243, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:09:20.243, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:09:20.243, 2, NVIDIA L40S, 80 %, 21083 MiB
2026/09/06 06:09:20.243, 3, NVIDIA L40S, 34 %, 21083 MiB
2026/09/06 06:09:30.244, 0, NVIDIA L40S, 64 %, 21085 MiB
2026/09/06 06:09:30.244, 1, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:09:30.244, 2, NVIDIA L40S, 47 %, 21083 MiB
2026/09/06 06:09:30.244, 3, NVIDIA L40S, 21 %, 21083 MiB
2026/09/06 06:09:40.245, 0, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:09:40.246, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:09:40.246, 2, NVIDIA L40S, 23 %, 21083 MiB
2026/09/06 06:09:40.246, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:09:50.247, 0, NVIDIA L40S, 67 %, 21085 MiB
2026/09/06 06:09:50.247, 1, NVIDIA L40S, 21 %, 21087 MiB
2026/09/06 06:09:50.247, 2, NVIDIA L40S, 53 %, 21083 MiB
2026/09/06 06:09:50.247, 3, NVIDIA L40S, 40 %, 21083 MiB
2026/09/06 06:10:00.248, 0, NVIDIA L40S, 47 %, 21085 MiB
2026/09/06 06:10:00.248, 1, NVIDIA L40S, 54 %, 21087 MiB
2026/09/06 06:10:00.248, 2, NVIDIA L40S, 98 %, 21083 MiB
2026/09/06 06:10:00.248, 3, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:10:10.250, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:10:10.250, 1, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:10:10.250, 2, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 06:10:10.250, 3, NVIDIA L40S, 23 %, 21083 MiB
2026/09/06 06:10:20.251, 0, NVIDIA L40S, 21 %, 21085 MiB
2026/09/06 06:10:20.251, 1, NVIDIA L40S, 24 %, 21087 MiB
2026/09/06 06:10:20.251, 2, NVIDIA L40S, 99 %, 21083 MiB
2026/09/06 06:10:20.251, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:10:30.252, 0, NVIDIA L40S, 22 %, 21085 MiB
2026/09/06 06:10:30.252, 1, NVIDIA L40S, 49 %, 21087 MiB
2026/09/06 06:10:30.252, 2, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:10:30.253, 3, NVIDIA L40S, 84 %, 21083 MiB
2026/09/06 06:10:40.254, 0, NVIDIA L40S, 21 %, 21085 MiB
2026/09/06 06:10:40.254, 1, NVIDIA L40S, 81 %, 21087 MiB
2026/09/06 06:10:40.254, 2, NVIDIA L40S, 56 %, 21083 MiB
2026/09/06 06:10:40.254, 3, NVIDIA L40S, 22 %, 21083 MiB
2026/09/06 06:10:50.255, 0, NVIDIA L40S, 23 %, 21085 MiB
2026/09/06 06:10:50.255, 1, NVIDIA L40S, 36 %, 21087 MiB
2026/09/06 06:10:50.255, 2, NVIDIA L40S, 32 %, 21083 MiB
2026/09/06 06:10:50.255, 3, NVIDIA L40S, 97 %, 21083 MiB
2026/09/06 06:11:00.256, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 06:11:00.256, 1, NVIDIA L40S, 28 %, 21087 MiB
2026/09/06 06:11:00.257, 2, NVIDIA L40S, 0 %, 21083 MiB
2026/09/06 06:11:00.257, 3, NVIDIA L40S, 78 %, 21083 MiB
2026/09/06 06:11:10.258, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 06:11:10.258, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:11:10.258, 2, NVIDIA L40S, 83 %, 21083 MiB
2026/09/06 06:11:10.258, 3, NVIDIA L40S, 0 %, 21089 MiB
2026/09/06 06:11:20.259, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:11:20.259, 1, NVIDIA L40S, 98 %, 21087 MiB
2026/09/06 06:11:20.259, 2, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:11:20.259, 3, NVIDIA L40S, 37 %, 21089 MiB
2026/09/06 06:11:30.260, 0, NVIDIA L40S, 42 %, 21085 MiB
2026/09/06 06:11:30.260, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:11:30.260, 2, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:11:30.260, 3, NVIDIA L40S, 0 %, 21089 MiB
2026/09/06 06:11:40.261, 0, NVIDIA L40S, 4 %, 21085 MiB
2026/09/06 06:11:40.262, 1, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:11:40.262, 2, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:11:40.262, 3, NVIDIA L40S, 22 %, 21089 MiB
2026/09/06 06:11:50.263, 0, NVIDIA L40S, 21 %, 21085 MiB
2026/09/06 06:11:50.263, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:11:50.263, 2, NVIDIA L40S, 71 %, 21087 MiB
2026/09/06 06:11:50.263, 3, NVIDIA L40S, 0 %, 21093 MiB
2026/09/06 06:12:00.264, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:12:00.264, 1, NVIDIA L40S, 99 %, 21087 MiB
2026/09/06 06:12:00.264, 2, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:12:00.264, 3, NVIDIA L40S, 22 %, 21093 MiB
2026/09/06 06:12:10.266, 0, NVIDIA L40S, 86 %, 21085 MiB
2026/09/06 06:12:10.266, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:12:10.266, 2, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:12:10.266, 3, NVIDIA L40S, 0 %, 21093 MiB
2026/09/06 06:12:20.267, 0, NVIDIA L40S, 98 %, 21085 MiB
2026/09/06 06:12:20.267, 1, NVIDIA L40S, 54 %, 21087 MiB
2026/09/06 06:12:20.267, 2, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:12:20.267, 3, NVIDIA L40S, 22 %, 21093 MiB
2026/09/06 06:12:30.268, 0, NVIDIA L40S, 99 %, 21085 MiB
2026/09/06 06:12:30.268, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:12:30.269, 2, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:12:30.269, 3, NVIDIA L40S, 0 %, 21093 MiB
2026/09/06 06:12:40.270, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:12:40.270, 1, NVIDIA L40S, 66 %, 21087 MiB
2026/09/06 06:12:40.270, 2, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:12:40.270, 3, NVIDIA L40S, 70 %, 21093 MiB
2026/09/06 06:12:50.271, 0, NVIDIA L40S, 32 %, 21085 MiB
2026/09/06 06:12:50.271, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:12:50.271, 2, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:12:50.271, 3, NVIDIA L40S, 0 %, 21093 MiB
2026/09/06 06:13:00.273, 0, NVIDIA L40S, 0 %, 21085 MiB
2026/09/06 06:13:00.273, 1, NVIDIA L40S, 82 %, 21087 MiB
2026/09/06 06:13:00.273, 2, NVIDIA L40S, 81 %, 21087 MiB
2026/09/06 06:13:00.273, 3, NVIDIA L40S, 22 %, 21093 MiB
2026/09/06 06:13:10.274, 0, NVIDIA L40S, 71 %, 21085 MiB
2026/09/06 06:13:10.274, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:13:10.274, 2, NVIDIA L40S, 22 %, 21087 MiB
2026/09/06 06:13:10.274, 3, NVIDIA L40S, 79 %, 21093 MiB
2026/09/06 06:13:20.275, 0, NVIDIA L40S, 20 %, 21085 MiB
2026/09/06 06:13:20.276, 1, NVIDIA L40S, 21 %, 21087 MiB
2026/09/06 06:13:20.276, 2, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:13:20.276, 3, NVIDIA L40S, 98 %, 21093 MiB
2026/09/06 06:13:30.277, 0, NVIDIA L40S, 59 %, 21085 MiB
2026/09/06 06:13:30.277, 1, NVIDIA L40S, 0 %, 21087 MiB
2026/09/06 06:13:30.277, 2, NVIDIA L40S, 23 %, 21087 MiB
2026/09/06 06:13:30.277, 3, NVIDIA L40S, 98 %, 21093 MiB
2026/09/06 06:13:40.278, 0, NVIDIA L40S, 20 %, 21085 MiB
2026/09/06 06:13:40.278, 1, NVIDIA L40S, 28 %, 21087 MiB
2026/09/06 06:13:40.279, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:13:40.279, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:13:50.280, 0, NVIDIA L40S, 63 %, 21085 MiB
2026/09/06 06:13:50.280, 1, NVIDIA L40S, 20 %, 21087 MiB
2026/09/06 06:13:50.280, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:13:50.280, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:00.281, 0, NVIDIA L40S, 20 %, 21085 MiB
2026/09/06 06:14:00.281, 1, NVIDIA L40S, 89 %, 21087 MiB
2026/09/06 06:14:00.281, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:00.281, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:10.282, 0, NVIDIA L40S, 45 %, 21085 MiB
2026/09/06 06:14:10.283, 1, NVIDIA L40S, 35 %, 21087 MiB
2026/09/06 06:14:10.283, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:10.283, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:20.284, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 06:14:20.284, 1, NVIDIA L40S, 38 %, 21087 MiB
2026/09/06 06:14:20.284, 2, NVIDIA L40S, 0 %, 3 MiB
