timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:40:00.967, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:40:00.967, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:40:00.968, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:40:00.968, 3, NVIDIA L40S, 6 %, 0 MiB
2026/09/06 07:40:10.969, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:10.969, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:10.969, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:10.969, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:20.970, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:20.970, 1, NVIDIA L40S, 20 %, 1689 MiB
2026/09/06 07:40:20.971, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:20.972, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:40:30.973, 0, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:40:30.973, 1, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:40:30.973, 2, NVIDIA L40S, 4 %, 20939 MiB
2026/09/06 07:40:30.973, 3, NVIDIA L40S, 0 %, 20939 MiB
2026/09/06 07:40:40.974, 0, NVIDIA L40S, 57 %, 21059 MiB
2026/09/06 07:40:40.974, 1, NVIDIA L40S, 24 %, 21047 MiB
2026/09/06 07:40:40.974, 2, NVIDIA L40S, 36 %, 20985 MiB
2026/09/06 07:40:40.974, 3, NVIDIA L40S, 84 %, 21055 MiB
2026/09/06 07:40:50.976, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:40:50.976, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:40:50.976, 2, NVIDIA L40S, 25 %, 20985 MiB
2026/09/06 07:40:50.976, 3, NVIDIA L40S, 0 %, 3 MiB
