timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 03:19:40.082, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:19:40.083, 1, NVIDIA L40S, 6 %, 0 MiB
2026/09/06 03:19:40.083, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:19:40.083, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 03:19:50.085, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:19:50.085, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 03:19:50.085, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:19:50.085, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 03:20:00.086, 0, NVIDIA L40S, 0 %, 27343 MiB
2026/09/06 03:20:00.086, 1, NVIDIA L40S, 0 %, 27343 MiB
2026/09/06 03:20:00.086, 2, NVIDIA L40S, 0 %, 27243 MiB
2026/09/06 03:20:00.087, 3, NVIDIA L40S, 0 %, 27243 MiB
2026/09/06 03:20:10.088, 0, NVIDIA L40S, 0 %, 28803 MiB
2026/09/06 03:20:10.088, 1, NVIDIA L40S, 0 %, 28803 MiB
2026/09/06 03:20:10.088, 2, NVIDIA L40S, 0 %, 28803 MiB
2026/09/06 03:20:10.088, 3, NVIDIA L40S, 0 %, 28803 MiB
2026/09/06 03:20:20.089, 0, NVIDIA L40S, 0 %, 30243 MiB
2026/09/06 03:20:20.089, 1, NVIDIA L40S, 0 %, 30243 MiB
2026/09/06 03:20:20.089, 2, NVIDIA L40S, 0 %, 30243 MiB
2026/09/06 03:20:20.089, 3, NVIDIA L40S, 0 %, 30243 MiB
2026/09/06 03:20:30.090, 0, NVIDIA L40S, 92 %, 30335 MiB
2026/09/06 03:20:30.090, 1, NVIDIA L40S, 91 %, 30399 MiB
2026/09/06 03:20:30.090, 2, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:20:30.091, 3, NVIDIA L40S, 94 %, 30411 MiB
2026/09/06 03:20:40.092, 0, NVIDIA L40S, 90 %, 30435 MiB
2026/09/06 03:20:40.092, 1, NVIDIA L40S, 93 %, 30407 MiB
2026/09/06 03:20:40.092, 2, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:20:40.092, 3, NVIDIA L40S, 94 %, 30411 MiB
2026/09/06 03:20:50.093, 0, NVIDIA L40S, 93 %, 30435 MiB
2026/09/06 03:20:50.093, 1, NVIDIA L40S, 96 %, 30407 MiB
2026/09/06 03:20:50.093, 2, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:20:50.093, 3, NVIDIA L40S, 97 %, 30413 MiB
2026/09/06 03:21:00.094, 0, NVIDIA L40S, 92 %, 30445 MiB
2026/09/06 03:21:00.095, 1, NVIDIA L40S, 94 %, 30407 MiB
2026/09/06 03:21:00.095, 2, NVIDIA L40S, 97 %, 30437 MiB
2026/09/06 03:21:00.095, 3, NVIDIA L40S, 94 %, 30423 MiB
2026/09/06 03:21:10.096, 0, NVIDIA L40S, 95 %, 30445 MiB
2026/09/06 03:21:10.096, 1, NVIDIA L40S, 93 %, 30407 MiB
2026/09/06 03:21:10.096, 2, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:21:10.096, 3, NVIDIA L40S, 94 %, 30427 MiB
2026/09/06 03:21:20.097, 0, NVIDIA L40S, 93 %, 30445 MiB
2026/09/06 03:21:20.097, 1, NVIDIA L40S, 93 %, 30407 MiB
2026/09/06 03:21:20.097, 2, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:21:20.097, 3, NVIDIA L40S, 94 %, 30427 MiB
2026/09/06 03:21:30.098, 0, NVIDIA L40S, 93 %, 30445 MiB
2026/09/06 03:21:30.099, 1, NVIDIA L40S, 94 %, 30407 MiB
2026/09/06 03:21:30.099, 2, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:21:30.099, 3, NVIDIA L40S, 81 %, 30427 MiB
2026/09/06 03:21:40.100, 0, NVIDIA L40S, 94 %, 30445 MiB
2026/09/06 03:21:40.100, 1, NVIDIA L40S, 97 %, 30407 MiB
2026/09/06 03:21:40.100, 2, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:21:40.100, 3, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:21:50.101, 0, NVIDIA L40S, 93 %, 30445 MiB
2026/09/06 03:21:50.101, 1, NVIDIA L40S, 93 %, 30431 MiB
2026/09/06 03:21:50.101, 2, NVIDIA L40S, 98 %, 30437 MiB
2026/09/06 03:21:50.102, 3, NVIDIA L40S, 97 %, 30437 MiB
2026/09/06 03:22:00.103, 0, NVIDIA L40S, 92 %, 30459 MiB
2026/09/06 03:22:00.103, 1, NVIDIA L40S, 90 %, 30437 MiB
2026/09/06 03:22:00.103, 2, NVIDIA L40S, 94 %, 30441 MiB
2026/09/06 03:22:00.103, 3, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:22:10.104, 0, NVIDIA L40S, 95 %, 30499 MiB
2026/09/06 03:22:10.104, 1, NVIDIA L40S, 92 %, 30437 MiB
2026/09/06 03:22:10.104, 2, NVIDIA L40S, 94 %, 30441 MiB
2026/09/06 03:22:10.104, 3, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:22:20.105, 0, NVIDIA L40S, 94 %, 30499 MiB
2026/09/06 03:22:20.106, 1, NVIDIA L40S, 97 %, 30437 MiB
2026/09/06 03:22:20.106, 2, NVIDIA L40S, 97 %, 30441 MiB
2026/09/06 03:22:20.106, 3, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:22:30.107, 0, NVIDIA L40S, 92 %, 30499 MiB
2026/09/06 03:22:30.107, 1, NVIDIA L40S, 95 %, 30437 MiB
2026/09/06 03:22:30.107, 2, NVIDIA L40S, 94 %, 30441 MiB
2026/09/06 03:22:30.107, 3, NVIDIA L40S, 98 %, 30437 MiB
2026/09/06 03:22:40.108, 0, NVIDIA L40S, 93 %, 30499 MiB
2026/09/06 03:22:40.108, 1, NVIDIA L40S, 94 %, 30441 MiB
2026/09/06 03:22:40.108, 2, NVIDIA L40S, 94 %, 30493 MiB
2026/09/06 03:22:40.108, 3, NVIDIA L40S, 94 %, 30437 MiB
2026/09/06 03:22:50.109, 0, NVIDIA L40S, 79 %, 30499 MiB
2026/09/06 03:22:50.109, 1, NVIDIA L40S, 94 %, 30441 MiB
2026/09/06 03:22:50.109, 2, NVIDIA L40S, 97 %, 30493 MiB
2026/09/06 03:22:50.110, 3, NVIDIA L40S, 96 %, 30437 MiB
