timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 02:05:14.216, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:05:14.216, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:05:14.216, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:05:14.217, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 02:05:24.218, 0, NVIDIA L40S, 26 %, 19255 MiB
2026/09/06 02:05:24.218, 1, NVIDIA L40S, 17 %, 17119 MiB
2026/09/06 02:05:24.218, 2, NVIDIA L40S, 4 %, 17119 MiB
2026/09/06 02:05:24.218, 3, NVIDIA L40S, 31 %, 18799 MiB
2026/09/06 02:05:34.219, 0, NVIDIA L40S, 96 %, 27919 MiB
2026/09/06 02:05:34.219, 1, NVIDIA L40S, 93 %, 27903 MiB
2026/09/06 02:05:34.219, 2, NVIDIA L40S, 93 %, 27925 MiB
2026/09/06 02:05:34.219, 3, NVIDIA L40S, 93 %, 27911 MiB
2026/09/06 02:05:44.220, 0, NVIDIA L40S, 93 %, 28015 MiB
2026/09/06 02:05:44.220, 1, NVIDIA L40S, 84 %, 28183 MiB
2026/09/06 02:05:44.220, 2, NVIDIA L40S, 94 %, 28349 MiB
2026/09/06 02:05:44.220, 3, NVIDIA L40S, 95 %, 28051 MiB
2026/09/06 02:05:54.221, 0, NVIDIA L40S, 95 %, 28035 MiB
2026/09/06 02:05:54.221, 1, NVIDIA L40S, 94 %, 28335 MiB
2026/09/06 02:05:54.221, 2, NVIDIA L40S, 94 %, 28357 MiB
2026/09/06 02:05:54.221, 3, NVIDIA L40S, 96 %, 28051 MiB
2026/09/06 02:06:04.222, 0, NVIDIA L40S, 94 %, 28123 MiB
2026/09/06 02:06:04.222, 1, NVIDIA L40S, 93 %, 28337 MiB
2026/09/06 02:06:04.222, 2, NVIDIA L40S, 94 %, 28359 MiB
2026/09/06 02:06:04.222, 3, NVIDIA L40S, 80 %, 28051 MiB
2026/09/06 02:06:14.223, 0, NVIDIA L40S, 96 %, 28123 MiB
