timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 02:45:59.806, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 02:45:59.807, 1, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 02:45:59.807, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 02:45:59.807, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 02:46:09.809, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:46:09.809, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:46:09.809, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 02:46:09.809, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 02:46:19.810, 0, NVIDIA L40S, 100 %, 3131 MiB
2026/09/06 02:46:19.810, 1, NVIDIA L40S, 2 %, 3131 MiB
2026/09/06 02:46:19.810, 2, NVIDIA L40S, 2 %, 3131 MiB
2026/09/06 02:46:19.810, 3, NVIDIA L40S, 42 %, 25341 MiB
2026/09/06 02:46:29.811, 0, NVIDIA L40S, 0 %, 4559 MiB
2026/09/06 02:46:29.811, 1, NVIDIA L40S, 3 %, 3311 MiB
2026/09/06 02:46:29.812, 2, NVIDIA L40S, 21 %, 4185 MiB
2026/09/06 02:46:29.812, 3, NVIDIA L40S, 19 %, 3337 MiB
