timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 10:08:05.650, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:08:05.650, 1, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 10:08:05.650, 2, NVIDIA L40S, 5 %, 0 MiB
2026/09/06 10:08:05.651, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 10:08:15.652, 0, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 10:08:15.652, 1, NVIDIA L40S, 0 %, 547 MiB
2026/09/06 10:08:15.652, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:08:15.652, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:08:25.653, 0, NVIDIA L40S, 21 %, 34825 MiB
2026/09/06 10:08:25.653, 1, NVIDIA L40S, 11 %, 34825 MiB
2026/09/06 10:08:25.653, 2, NVIDIA L40S, 20 %, 36887 MiB
2026/09/06 10:08:25.653, 3, NVIDIA L40S, 26 %, 36479 MiB
2026/09/06 10:08:35.654, 0, NVIDIA L40S, 0 %, 38759 MiB
2026/09/06 10:08:35.654, 1, NVIDIA L40S, 0 %, 38979 MiB
2026/09/06 10:08:35.654, 2, NVIDIA L40S, 0 %, 38979 MiB
2026/09/06 10:08:35.654, 3, NVIDIA L40S, 9 %, 38979 MiB
2026/09/06 10:08:45.655, 0, NVIDIA L40S, 98 %, 39363 MiB
2026/09/06 10:08:45.655, 1, NVIDIA L40S, 83 %, 39401 MiB
2026/09/06 10:08:45.655, 2, NVIDIA L40S, 93 %, 39375 MiB
2026/09/06 10:08:45.655, 3, NVIDIA L40S, 95 %, 39401 MiB
2026/09/06 10:08:55.656, 0, NVIDIA L40S, 79 %, 39377 MiB
2026/09/06 10:08:55.656, 1, NVIDIA L40S, 96 %, 39437 MiB
2026/09/06 10:08:55.656, 2, NVIDIA L40S, 96 %, 39445 MiB
2026/09/06 10:08:55.656, 3, NVIDIA L40S, 95 %, 39431 MiB
2026/09/06 10:09:05.657, 0, NVIDIA L40S, 96 %, 39453 MiB
2026/09/06 10:09:05.657, 1, NVIDIA L40S, 96 %, 39437 MiB
2026/09/06 10:09:05.658, 2, NVIDIA L40S, 97 %, 39445 MiB
2026/09/06 10:09:05.658, 3, NVIDIA L40S, 95 %, 39431 MiB
2026/09/06 10:09:15.658, 0, NVIDIA L40S, 96 %, 39453 MiB
2026/09/06 10:09:15.659, 1, NVIDIA L40S, 96 %, 39437 MiB
2026/09/06 10:09:15.659, 2, NVIDIA L40S, 96 %, 39445 MiB
2026/09/06 10:09:15.659, 3, NVIDIA L40S, 98 %, 39431 MiB
2026/09/06 10:09:25.660, 0, NVIDIA L40S, 96 %, 39455 MiB
2026/09/06 10:09:25.660, 1, NVIDIA L40S, 95 %, 39437 MiB
2026/09/06 10:09:25.660, 2, NVIDIA L40S, 98 %, 39445 MiB
2026/09/06 10:09:25.660, 3, NVIDIA L40S, 86 %, 39431 MiB
2026/09/06 10:09:35.661, 0, NVIDIA L40S, 96 %, 39587 MiB
2026/09/06 10:09:35.661, 1, NVIDIA L40S, 98 %, 39437 MiB
2026/09/06 10:09:35.661, 2, NVIDIA L40S, 96 %, 39449 MiB
2026/09/06 10:09:35.662, 3, NVIDIA L40S, 95 %, 39445 MiB
2026/09/06 10:09:45.663, 0, NVIDIA L40S, 95 %, 39587 MiB
2026/09/06 10:09:45.663, 1, NVIDIA L40S, 95 %, 39437 MiB
2026/09/06 10:09:45.663, 2, NVIDIA L40S, 93 %, 39455 MiB
2026/09/06 10:09:45.663, 3, NVIDIA L40S, 95 %, 39449 MiB
2026/09/06 10:09:55.664, 0, NVIDIA L40S, 95 %, 39587 MiB
2026/09/06 10:09:55.664, 1, NVIDIA L40S, 96 %, 39437 MiB
2026/09/06 10:09:55.664, 2, NVIDIA L40S, 96 %, 39455 MiB
2026/09/06 10:09:55.664, 3, NVIDIA L40S, 98 %, 39451 MiB
2026/09/06 10:10:05.665, 0, NVIDIA L40S, 95 %, 39587 MiB
2026/09/06 10:10:05.665, 1, NVIDIA L40S, 98 %, 39437 MiB
2026/09/06 10:10:05.666, 2, NVIDIA L40S, 98 %, 39457 MiB
2026/09/06 10:10:05.666, 3, NVIDIA L40S, 87 %, 39451 MiB
2026/09/06 10:10:15.667, 0, NVIDIA L40S, 95 %, 39587 MiB
2026/09/06 10:10:15.667, 1, NVIDIA L40S, 98 %, 39437 MiB
2026/09/06 10:10:15.667, 2, NVIDIA L40S, 96 %, 39457 MiB
2026/09/06 10:10:15.667, 3, NVIDIA L40S, 95 %, 39451 MiB
2026/09/06 10:10:25.668, 0, NVIDIA L40S, 98 %, 39587 MiB
2026/09/06 10:10:25.668, 1, NVIDIA L40S, 96 %, 39437 MiB
2026/09/06 10:10:25.668, 2, NVIDIA L40S, 96 %, 39457 MiB
2026/09/06 10:10:25.668, 3, NVIDIA L40S, 95 %, 39451 MiB
2026/09/06 10:10:35.669, 0, NVIDIA L40S, 82 %, 39597 MiB
2026/09/06 10:10:35.670, 1, NVIDIA L40S, 96 %, 39447 MiB
2026/09/06 10:10:35.670, 2, NVIDIA L40S, 96 %, 39457 MiB
2026/09/06 10:10:35.670, 3, NVIDIA L40S, 98 %, 39451 MiB
2026/09/06 10:10:45.671, 0, NVIDIA L40S, 96 %, 39611 MiB
2026/09/06 10:10:45.671, 1, NVIDIA L40S, 96 %, 39447 MiB
2026/09/06 10:10:45.671, 2, NVIDIA L40S, 99 %, 39457 MiB
2026/09/06 10:10:45.671, 3, NVIDIA L40S, 95 %, 39451 MiB
2026/09/06 10:10:55.672, 0, NVIDIA L40S, 96 %, 39711 MiB
2026/09/06 10:10:55.672, 1, NVIDIA L40S, 98 %, 39447 MiB
2026/09/06 10:10:55.672, 2, NVIDIA L40S, 97 %, 39457 MiB
2026/09/06 10:10:55.672, 3, NVIDIA L40S, 94 %, 39451 MiB
2026/09/06 10:11:05.673, 0, NVIDIA L40S, 96 %, 39711 MiB
2026/09/06 10:11:05.673, 1, NVIDIA L40S, 96 %, 39459 MiB
2026/09/06 10:11:05.674, 2, NVIDIA L40S, 96 %, 39599 MiB
2026/09/06 10:11:05.674, 3, NVIDIA L40S, 98 %, 39451 MiB
2026/09/06 10:11:15.675, 0, NVIDIA L40S, 98 %, 39711 MiB
2026/09/06 10:11:15.675, 1, NVIDIA L40S, 98 %, 39459 MiB
2026/09/06 10:11:15.675, 2, NVIDIA L40S, 98 %, 39703 MiB
2026/09/06 10:11:15.675, 3, NVIDIA L40S, 87 %, 39451 MiB
2026/09/06 10:11:25.676, 0, NVIDIA L40S, 95 %, 39711 MiB
2026/09/06 10:11:25.676, 1, NVIDIA L40S, 95 %, 39459 MiB
2026/09/06 10:11:25.676, 2, NVIDIA L40S, 96 %, 39723 MiB
2026/09/06 10:11:25.676, 3, NVIDIA L40S, 95 %, 39451 MiB
2026/09/06 10:11:35.677, 0, NVIDIA L40S, 95 %, 39711 MiB
2026/09/06 10:11:35.677, 1, NVIDIA L40S, 96 %, 39459 MiB
2026/09/06 10:11:35.677, 2, NVIDIA L40S, 95 %, 39723 MiB
2026/09/06 10:11:35.678, 3, NVIDIA L40S, 93 %, 39451 MiB
2026/09/06 10:11:45.679, 0, NVIDIA L40S, 94 %, 39711 MiB
2026/09/06 10:11:45.679, 1, NVIDIA L40S, 98 %, 39459 MiB
2026/09/06 10:11:45.679, 2, NVIDIA L40S, 96 %, 39723 MiB
2026/09/06 10:11:45.679, 3, NVIDIA L40S, 0 %, 39451 MiB
2026/09/06 10:11:55.680, 0, NVIDIA L40S, 98 %, 39711 MiB
2026/09/06 10:11:55.680, 1, NVIDIA L40S, 94 %, 39459 MiB
2026/09/06 10:11:55.680, 2, NVIDIA L40S, 0 %, 39723 MiB
2026/09/06 10:11:55.680, 3, NVIDIA L40S, 0 %, 39451 MiB
2026/09/06 10:12:05.681, 0, NVIDIA L40S, 86 %, 39711 MiB
2026/09/06 10:12:05.681, 1, NVIDIA L40S, 94 %, 39459 MiB
2026/09/06 10:12:05.681, 2, NVIDIA L40S, 0 %, 39723 MiB
2026/09/06 10:12:05.681, 3, NVIDIA L40S, 0 %, 39451 MiB
2026/09/06 10:12:15.682, 0, NVIDIA L40S, 97 %, 39711 MiB
2026/09/06 10:12:15.682, 1, NVIDIA L40S, 0 %, 39459 MiB
2026/09/06 10:12:15.682, 2, NVIDIA L40S, 0 %, 39723 MiB
2026/09/06 10:12:15.682, 3, NVIDIA L40S, 0 %, 39451 MiB
2026/09/06 10:12:25.683, 0, NVIDIA L40S, 95 %, 39711 MiB
2026/09/06 10:12:25.683, 1, NVIDIA L40S, 0 %, 39459 MiB
2026/09/06 10:12:25.683, 2, NVIDIA L40S, 0 %, 39723 MiB
2026/09/06 10:12:25.683, 3, NVIDIA L40S, 0 %, 39451 MiB
