timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 10:12:38.168, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 10:12:38.168, 1, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 10:12:38.169, 2, NVIDIA L40S, 1 %, 0 MiB
2026/09/06 10:12:38.169, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 10:12:48.170, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:12:48.170, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 10:12:48.170, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 10:12:48.170, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 10:12:58.172, 0, NVIDIA L40S, 25 %, 38251 MiB
2026/09/06 10:12:58.172, 1, NVIDIA L40S, 23 %, 38251 MiB
2026/09/06 10:12:58.172, 2, NVIDIA L40S, 21 %, 38251 MiB
2026/09/06 10:12:58.172, 3, NVIDIA L40S, 25 %, 42169 MiB
2026/09/06 10:13:08.173, 0, NVIDIA L40S, 0 %, 43425 MiB
2026/09/06 10:13:08.173, 1, NVIDIA L40S, 0 %, 43425 MiB
2026/09/06 10:13:08.173, 2, NVIDIA L40S, 0 %, 43425 MiB
2026/09/06 10:13:08.173, 3, NVIDIA L40S, 0 %, 43645 MiB
2026/09/06 10:13:18.174, 0, NVIDIA L40S, 99 %, 44035 MiB
2026/09/06 10:13:18.175, 1, NVIDIA L40S, 86 %, 44005 MiB
2026/09/06 10:13:18.175, 2, NVIDIA L40S, 87 %, 44035 MiB
2026/09/06 10:13:18.175, 3, NVIDIA L40S, 87 %, 44019 MiB
2026/09/06 10:13:28.176, 0, NVIDIA L40S, 94 %, 44035 MiB
2026/09/06 10:13:28.176, 1, NVIDIA L40S, 81 %, 44105 MiB
2026/09/06 10:13:28.176, 2, NVIDIA L40S, 88 %, 44157 MiB
2026/09/06 10:13:28.176, 3, NVIDIA L40S, 90 %, 44075 MiB
2026/09/06 10:13:38.177, 0, NVIDIA L40S, 86 %, 44159 MiB
2026/09/06 10:13:38.177, 1, NVIDIA L40S, 87 %, 44111 MiB
2026/09/06 10:13:38.177, 2, NVIDIA L40S, 93 %, 44157 MiB
2026/09/06 10:13:38.177, 3, NVIDIA L40S, 92 %, 44081 MiB
2026/09/06 10:13:48.178, 0, NVIDIA L40S, 88 %, 44159 MiB
2026/09/06 10:13:48.179, 1, NVIDIA L40S, 88 %, 44111 MiB
2026/09/06 10:13:48.179, 2, NVIDIA L40S, 86 %, 44157 MiB
2026/09/06 10:13:48.179, 3, NVIDIA L40S, 86 %, 44081 MiB
2026/09/06 10:13:58.180, 0, NVIDIA L40S, 93 %, 44159 MiB
2026/09/06 10:13:58.180, 1, NVIDIA L40S, 91 %, 44111 MiB
2026/09/06 10:13:58.180, 2, NVIDIA L40S, 91 %, 44157 MiB
2026/09/06 10:13:58.180, 3, NVIDIA L40S, 93 %, 44081 MiB
2026/09/06 10:14:08.181, 0, NVIDIA L40S, 92 %, 44159 MiB
2026/09/06 10:14:08.181, 1, NVIDIA L40S, 86 %, 44111 MiB
2026/09/06 10:14:08.181, 2, NVIDIA L40S, 92 %, 44157 MiB
2026/09/06 10:14:08.181, 3, NVIDIA L40S, 85 %, 44081 MiB
2026/09/06 10:14:18.182, 0, NVIDIA L40S, 92 %, 44159 MiB
2026/09/06 10:14:18.183, 1, NVIDIA L40S, 90 %, 44111 MiB
2026/09/06 10:14:18.183, 2, NVIDIA L40S, 92 %, 44157 MiB
2026/09/06 10:14:18.183, 3, NVIDIA L40S, 98 %, 44081 MiB
2026/09/06 10:14:28.184, 0, NVIDIA L40S, 91 %, 44159 MiB
2026/09/06 10:14:28.184, 1, NVIDIA L40S, 87 %, 44111 MiB
2026/09/06 10:14:28.184, 2, NVIDIA L40S, 98 %, 44157 MiB
2026/09/06 10:14:28.184, 3, NVIDIA L40S, 94 %, 44081 MiB
2026/09/06 10:14:38.185, 0, NVIDIA L40S, 88 %, 44259 MiB
2026/09/06 10:14:38.185, 1, NVIDIA L40S, 87 %, 44111 MiB
2026/09/06 10:14:38.185, 2, NVIDIA L40S, 86 %, 44157 MiB
2026/09/06 10:14:38.185, 3, NVIDIA L40S, 87 %, 44123 MiB
2026/09/06 10:14:48.186, 0, NVIDIA L40S, 90 %, 44259 MiB
2026/09/06 10:14:48.186, 1, NVIDIA L40S, 98 %, 44111 MiB
2026/09/06 10:14:48.187, 2, NVIDIA L40S, 89 %, 44157 MiB
2026/09/06 10:14:48.187, 3, NVIDIA L40S, 69 %, 44123 MiB
2026/09/06 10:14:58.187, 0, NVIDIA L40S, 85 %, 44259 MiB
2026/09/06 10:14:58.188, 1, NVIDIA L40S, 93 %, 44111 MiB
2026/09/06 10:14:58.188, 2, NVIDIA L40S, 93 %, 44157 MiB
2026/09/06 10:14:58.188, 3, NVIDIA L40S, 92 %, 44123 MiB
2026/09/06 10:15:08.188, 0, NVIDIA L40S, 85 %, 44259 MiB
2026/09/06 10:15:08.188, 1, NVIDIA L40S, 92 %, 44111 MiB
2026/09/06 10:15:08.188, 2, NVIDIA L40S, 86 %, 44157 MiB
2026/09/06 10:15:08.189, 3, NVIDIA L40S, 85 %, 44123 MiB
2026/09/06 10:15:18.189, 0, NVIDIA L40S, 89 %, 44259 MiB
2026/09/06 10:15:18.189, 1, NVIDIA L40S, 86 %, 44111 MiB
2026/09/06 10:15:18.189, 2, NVIDIA L40S, 91 %, 44157 MiB
2026/09/06 10:15:18.189, 3, NVIDIA L40S, 85 %, 44123 MiB
2026/09/06 10:15:28.190, 0, NVIDIA L40S, 87 %, 44259 MiB
2026/09/06 10:15:28.190, 1, NVIDIA L40S, 86 %, 44111 MiB
2026/09/06 10:15:28.190, 2, NVIDIA L40S, 88 %, 44157 MiB
2026/09/06 10:15:28.190, 3, NVIDIA L40S, 86 %, 44123 MiB
2026/09/06 10:15:38.191, 0, NVIDIA L40S, 87 %, 44259 MiB
2026/09/06 10:15:38.191, 1, NVIDIA L40S, 86 %, 44111 MiB
2026/09/06 10:15:38.191, 2, NVIDIA L40S, 98 %, 44157 MiB
2026/09/06 10:15:38.191, 3, NVIDIA L40S, 98 %, 44123 MiB
2026/09/06 10:15:48.192, 0, NVIDIA L40S, 91 %, 44259 MiB
2026/09/06 10:15:48.192, 1, NVIDIA L40S, 98 %, 44111 MiB
2026/09/06 10:15:48.192, 2, NVIDIA L40S, 94 %, 44157 MiB
2026/09/06 10:15:48.192, 3, NVIDIA L40S, 81 %, 44123 MiB
2026/09/06 10:15:58.193, 0, NVIDIA L40S, 92 %, 44259 MiB
2026/09/06 10:15:58.193, 1, NVIDIA L40S, 89 %, 44113 MiB
2026/09/06 10:15:58.193, 2, NVIDIA L40S, 92 %, 44187 MiB
2026/09/06 10:15:58.193, 3, NVIDIA L40S, 88 %, 44183 MiB
2026/09/06 10:16:08.194, 0, NVIDIA L40S, 98 %, 44259 MiB
2026/09/06 10:16:08.194, 1, NVIDIA L40S, 93 %, 44113 MiB
2026/09/06 10:16:08.194, 2, NVIDIA L40S, 92 %, 44187 MiB
2026/09/06 10:16:08.194, 3, NVIDIA L40S, 85 %, 44183 MiB
2026/09/06 10:16:18.195, 0, NVIDIA L40S, 82 %, 44279 MiB
2026/09/06 10:16:18.195, 1, NVIDIA L40S, 85 %, 44113 MiB
2026/09/06 10:16:18.195, 2, NVIDIA L40S, 92 %, 44187 MiB
2026/09/06 10:16:18.195, 3, NVIDIA L40S, 90 %, 44183 MiB
2026/09/06 10:16:28.196, 0, NVIDIA L40S, 89 %, 44299 MiB
2026/09/06 10:16:28.196, 1, NVIDIA L40S, 92 %, 44113 MiB
2026/09/06 10:16:28.196, 2, NVIDIA L40S, 85 %, 44187 MiB
2026/09/06 10:16:28.196, 3, NVIDIA L40S, 88 %, 44183 MiB
2026/09/06 10:16:38.197, 0, NVIDIA L40S, 89 %, 44379 MiB
2026/09/06 10:16:38.197, 1, NVIDIA L40S, 92 %, 44113 MiB
2026/09/06 10:16:38.197, 2, NVIDIA L40S, 98 %, 44187 MiB
2026/09/06 10:16:38.197, 3, NVIDIA L40S, 98 %, 44183 MiB
2026/09/06 10:16:48.198, 0, NVIDIA L40S, 88 %, 44379 MiB
2026/09/06 10:16:48.198, 1, NVIDIA L40S, 86 %, 44113 MiB
2026/09/06 10:16:48.198, 2, NVIDIA L40S, 98 %, 44187 MiB
2026/09/06 10:16:48.198, 3, NVIDIA L40S, 94 %, 44183 MiB
2026/09/06 10:16:58.199, 0, NVIDIA L40S, 93 %, 44379 MiB
2026/09/06 10:16:58.199, 1, NVIDIA L40S, 98 %, 44113 MiB
2026/09/06 10:16:58.199, 2, NVIDIA L40S, 87 %, 44187 MiB
2026/09/06 10:16:58.199, 3, NVIDIA L40S, 92 %, 44183 MiB
2026/09/06 10:17:08.199, 0, NVIDIA L40S, 86 %, 44379 MiB
2026/09/06 10:17:08.200, 1, NVIDIA L40S, 98 %, 44113 MiB
