timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:57:55.560, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:57:55.561, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:57:55.561, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:57:55.562, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:58:05.563, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:05.563, 1, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 07:58:05.563, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:05.563, 3, NVIDIA L40S, 0 %, 873 MiB
2026/09/06 07:58:15.564, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:15.564, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:15.565, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:15.565, 3, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:25.565, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:25.566, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:25.566, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:25.566, 3, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:35.567, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:35.567, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:35.567, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:35.567, 3, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:45.568, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:45.568, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:45.568, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:45.568, 3, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:55.569, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:55.570, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 07:58:55.570, 2, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:58:55.570, 3, NVIDIA L40S, 0 %, 875 MiB
2026/09/06 07:59:05.571, 0, NVIDIA L40S, 0 %, 1133 MiB
2026/09/06 07:59:05.571, 1, NVIDIA L40S, 36 %, 1133 MiB
2026/09/06 07:59:05.571, 2, NVIDIA L40S, 39 %, 3991 MiB
2026/09/06 07:59:05.571, 3, NVIDIA L40S, 56 %, 4393 MiB
2026/09/06 07:59:15.572, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:59:15.572, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:59:15.572, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:59:15.572, 3, NVIDIA L40S, 0 %, 4393 MiB
2026/09/06 07:59:25.573, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:59:25.573, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:59:25.573, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:59:25.573, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:59:35.574, 0, NVIDIA L40S, 18 %, 8215 MiB
2026/09/06 07:59:35.575, 1, NVIDIA L40S, 18 %, 8215 MiB
2026/09/06 07:59:35.575, 2, NVIDIA L40S, 17 %, 8215 MiB
2026/09/06 07:59:35.575, 3, NVIDIA L40S, 17 %, 8215 MiB
2026/09/06 07:59:45.576, 0, NVIDIA L40S, 0 %, 37795 MiB
2026/09/06 07:59:45.576, 1, NVIDIA L40S, 0 %, 37795 MiB
2026/09/06 07:59:45.576, 2, NVIDIA L40S, 0 %, 37795 MiB
2026/09/06 07:59:45.576, 3, NVIDIA L40S, 0 %, 37795 MiB
2026/09/06 07:59:55.577, 0, NVIDIA L40S, 98 %, 38177 MiB
2026/09/06 07:59:55.577, 1, NVIDIA L40S, 96 %, 38171 MiB
2026/09/06 07:59:55.577, 2, NVIDIA L40S, 97 %, 38183 MiB
2026/09/06 07:59:55.577, 3, NVIDIA L40S, 95 %, 38171 MiB
2026/09/06 08:00:05.578, 0, NVIDIA L40S, 96 %, 38229 MiB
2026/09/06 08:00:05.578, 1, NVIDIA L40S, 96 %, 38183 MiB
2026/09/06 08:00:05.579, 2, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:00:05.579, 3, NVIDIA L40S, 97 %, 38193 MiB
2026/09/06 08:00:15.580, 0, NVIDIA L40S, 98 %, 38233 MiB
2026/09/06 08:00:15.580, 1, NVIDIA L40S, 96 %, 38183 MiB
2026/09/06 08:00:15.580, 2, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:00:15.580, 3, NVIDIA L40S, 97 %, 38195 MiB
2026/09/06 08:00:25.581, 0, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:00:25.581, 1, NVIDIA L40S, 99 %, 38183 MiB
2026/09/06 08:00:25.581, 2, NVIDIA L40S, 98 %, 38233 MiB
2026/09/06 08:00:25.581, 3, NVIDIA L40S, 96 %, 38195 MiB
2026/09/06 08:00:35.582, 0, NVIDIA L40S, 97 %, 38345 MiB
2026/09/06 08:00:35.582, 1, NVIDIA L40S, 95 %, 38183 MiB
2026/09/06 08:00:35.583, 2, NVIDIA L40S, 95 %, 38233 MiB
2026/09/06 08:00:35.583, 3, NVIDIA L40S, 98 %, 38197 MiB
2026/09/06 08:00:45.584, 0, NVIDIA L40S, 98 %, 38345 MiB
2026/09/06 08:00:45.584, 1, NVIDIA L40S, 98 %, 38183 MiB
2026/09/06 08:00:45.584, 2, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:00:45.584, 3, NVIDIA L40S, 95 %, 38231 MiB
2026/09/06 08:00:55.585, 0, NVIDIA L40S, 95 %, 38397 MiB
2026/09/06 08:00:55.585, 1, NVIDIA L40S, 96 %, 38183 MiB
2026/09/06 08:00:55.585, 2, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:00:55.585, 3, NVIDIA L40S, 96 %, 38231 MiB
2026/09/06 08:01:05.586, 0, NVIDIA L40S, 0 %, 38397 MiB
2026/09/06 08:01:05.586, 1, NVIDIA L40S, 0 %, 38183 MiB
2026/09/06 08:01:05.586, 2, NVIDIA L40S, 96 %, 38233 MiB
2026/09/06 08:01:05.586, 3, NVIDIA L40S, 0 %, 38231 MiB
