timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 09:09:15.796, 0, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 09:09:15.796, 1, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 09:09:15.797, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 09:09:15.797, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 09:09:25.798, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:09:25.799, 1, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:09:25.799, 2, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:25.799, 3, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:35.800, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:35.800, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:35.800, 2, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:35.800, 3, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:45.801, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:45.801, 1, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:45.801, 2, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:45.801, 3, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:55.802, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:55.803, 1, NVIDIA L40S, 18 %, 1001 MiB
2026/09/06 09:09:55.803, 2, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:09:55.803, 3, NVIDIA L40S, 11 %, 1001 MiB
2026/09/06 09:10:05.803, 0, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:10:05.804, 1, NVIDIA L40S, 20 %, 1001 MiB
2026/09/06 09:10:05.804, 2, NVIDIA L40S, 0 %, 505 MiB
2026/09/06 09:10:05.804, 3, NVIDIA L40S, 23 %, 1001 MiB
2026/09/06 09:10:15.805, 0, NVIDIA L40S, 0 %, 619 MiB
2026/09/06 09:10:15.805, 1, NVIDIA L40S, 20 %, 1001 MiB
2026/09/06 09:10:15.805, 2, NVIDIA L40S, 0 %, 629 MiB
