timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 09:34:40.097, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 09:34:40.098, 1, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 09:34:40.098, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 09:34:40.098, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 09:34:50.099, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:34:50.100, 1, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:34:50.100, 2, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:34:50.100, 3, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:00.101, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:00.101, 1, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:00.101, 2, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:00.101, 3, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:10.102, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:10.102, 1, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:10.103, 2, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:10.103, 3, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:20.103, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:20.104, 1, NVIDIA L40S, 21 %, 961 MiB
2026/09/06 09:35:20.104, 2, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:20.104, 3, NVIDIA L40S, 17 %, 961 MiB
2026/09/06 09:35:30.105, 0, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:30.105, 1, NVIDIA L40S, 21 %, 961 MiB
2026/09/06 09:35:30.105, 2, NVIDIA L40S, 0 %, 503 MiB
2026/09/06 09:35:30.105, 3, NVIDIA L40S, 21 %, 961 MiB
2026/09/06 09:35:40.106, 0, NVIDIA L40S, 9 %, 961 MiB
2026/09/06 09:35:40.106, 1, NVIDIA L40S, 18 %, 961 MiB
2026/09/06 09:35:40.106, 2, NVIDIA L40S, 15 %, 677 MiB
2026/09/06 09:35:40.106, 3, NVIDIA L40S, 17 %, 961 MiB
2026/09/06 09:35:50.107, 0, NVIDIA L40S, 17 %, 961 MiB
2026/09/06 09:35:50.107, 1, NVIDIA L40S, 16 %, 961 MiB
2026/09/06 09:35:50.107, 2, NVIDIA L40S, 17 %, 961 MiB
2026/09/06 09:35:50.107, 3, NVIDIA L40S, 14 %, 961 MiB
2026/09/06 09:36:00.108, 0, NVIDIA L40S, 17 %, 961 MiB
2026/09/06 09:36:00.108, 1, NVIDIA L40S, 14 %, 961 MiB
