timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:41:11.805, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:41:11.805, 1, NVIDIA L40S, 10 %, 0 MiB
2026/09/06 07:41:11.806, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:41:11.806, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 07:41:21.807, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:41:21.807, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:41:21.807, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:41:21.808, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:41:31.808, 0, NVIDIA L40S, 22 %, 30415 MiB
2026/09/06 07:41:31.809, 1, NVIDIA L40S, 25 %, 33225 MiB
2026/09/06 07:41:31.809, 2, NVIDIA L40S, 25 %, 33225 MiB
2026/09/06 07:41:31.809, 3, NVIDIA L40S, 22 %, 30415 MiB
2026/09/06 07:41:41.810, 0, NVIDIA L40S, 71 %, 37703 MiB
2026/09/06 07:41:41.810, 1, NVIDIA L40S, 69 %, 37703 MiB
2026/09/06 07:41:41.810, 2, NVIDIA L40S, 69 %, 37707 MiB
2026/09/06 07:41:41.810, 3, NVIDIA L40S, 70 %, 37703 MiB
2026/09/06 07:41:51.811, 0, NVIDIA L40S, 70 %, 37707 MiB
2026/09/06 07:41:51.812, 1, NVIDIA L40S, 70 %, 37703 MiB
2026/09/06 07:41:51.812, 2, NVIDIA L40S, 67 %, 37707 MiB
2026/09/06 07:41:51.812, 3, NVIDIA L40S, 69 %, 37709 MiB
2026/09/06 07:42:01.813, 0, NVIDIA L40S, 65 %, 37707 MiB
2026/09/06 07:42:01.813, 1, NVIDIA L40S, 70 %, 37703 MiB
2026/09/06 07:42:01.813, 2, NVIDIA L40S, 59 %, 37709 MiB
2026/09/06 07:42:01.813, 3, NVIDIA L40S, 66 %, 37709 MiB
2026/09/06 07:42:11.814, 0, NVIDIA L40S, 70 %, 37707 MiB
2026/09/06 07:42:11.814, 1, NVIDIA L40S, 68 %, 37709 MiB
2026/09/06 07:42:11.815, 2, NVIDIA L40S, 75 %, 37709 MiB
2026/09/06 07:42:11.815, 3, NVIDIA L40S, 74 %, 37709 MiB
2026/09/06 07:42:21.816, 0, NVIDIA L40S, 70 %, 37707 MiB
2026/09/06 07:42:21.816, 1, NVIDIA L40S, 72 %, 37709 MiB
2026/09/06 07:42:21.816, 2, NVIDIA L40S, 71 %, 37709 MiB
2026/09/06 07:42:21.816, 3, NVIDIA L40S, 70 %, 37709 MiB
2026/09/06 07:42:31.817, 0, NVIDIA L40S, 70 %, 37707 MiB
2026/09/06 07:42:31.817, 1, NVIDIA L40S, 75 %, 37709 MiB
2026/09/06 07:42:31.817, 2, NVIDIA L40S, 70 %, 37709 MiB
2026/09/06 07:42:31.817, 3, NVIDIA L40S, 71 %, 37709 MiB
2026/09/06 07:42:41.818, 0, NVIDIA L40S, 66 %, 37707 MiB
2026/09/06 07:42:41.818, 1, NVIDIA L40S, 62 %, 37709 MiB
2026/09/06 07:42:41.818, 2, NVIDIA L40S, 70 %, 37709 MiB
2026/09/06 07:42:41.818, 3, NVIDIA L40S, 78 %, 37709 MiB
2026/09/06 07:42:51.819, 0, NVIDIA L40S, 68 %, 37707 MiB
2026/09/06 07:42:51.819, 1, NVIDIA L40S, 78 %, 37709 MiB
2026/09/06 07:42:51.819, 2, NVIDIA L40S, 71 %, 37709 MiB
2026/09/06 07:42:51.819, 3, NVIDIA L40S, 73 %, 37709 MiB
2026/09/06 07:43:01.820, 0, NVIDIA L40S, 0 %, 37743 MiB
2026/09/06 07:43:01.821, 1, NVIDIA L40S, 0 %, 37743 MiB
2026/09/06 07:43:01.821, 2, NVIDIA L40S, 0 %, 37743 MiB
2026/09/06 07:43:01.821, 3, NVIDIA L40S, 0 %, 37743 MiB
