timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 07:33:29.277, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:33:29.277, 1, NVIDIA L40S, 3 %, 0 MiB
2026/09/06 07:33:29.277, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 07:33:29.278, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 07:33:39.279, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:33:39.279, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:33:39.279, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:33:39.279, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 07:33:49.280, 0, NVIDIA L40S, 6 %, 14495 MiB
2026/09/06 07:33:49.280, 1, NVIDIA L40S, 17 %, 5363 MiB
2026/09/06 07:33:49.280, 2, NVIDIA L40S, 6 %, 14495 MiB
2026/09/06 07:33:49.280, 3, NVIDIA L40S, 6 %, 14495 MiB
2026/09/06 07:33:59.281, 0, NVIDIA L40S, 14 %, 36479 MiB
2026/09/06 07:33:59.281, 1, NVIDIA L40S, 22 %, 34655 MiB
2026/09/06 07:33:59.281, 2, NVIDIA L40S, 24 %, 34655 MiB
2026/09/06 07:33:59.281, 3, NVIDIA L40S, 25 %, 34655 MiB
2026/09/06 07:34:09.282, 0, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:34:09.282, 1, NVIDIA L40S, 3 %, 503 MiB
2026/09/06 07:34:09.282, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:34:09.282, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 07:34:19.283, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:34:19.283, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:34:19.283, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:34:19.283, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 07:34:29.284, 0, NVIDIA L40S, 28 %, 24115 MiB
2026/09/06 07:34:29.284, 1, NVIDIA L40S, 12 %, 25205 MiB
2026/09/06 07:34:29.284, 2, NVIDIA L40S, 16 %, 20795 MiB
2026/09/06 07:34:29.285, 3, NVIDIA L40S, 20 %, 20795 MiB
2026/09/06 07:34:39.285, 0, NVIDIA L40S, 96 %, 37987 MiB
2026/09/06 07:34:39.285, 1, NVIDIA L40S, 96 %, 37969 MiB
2026/09/06 07:34:39.286, 2, NVIDIA L40S, 95 %, 37989 MiB
2026/09/06 07:34:39.286, 3, NVIDIA L40S, 96 %, 37977 MiB
2026/09/06 07:34:49.287, 0, NVIDIA L40S, 96 %, 38013 MiB
2026/09/06 07:34:49.287, 1, NVIDIA L40S, 96 %, 37993 MiB
2026/09/06 07:34:49.287, 2, NVIDIA L40S, 95 %, 38043 MiB
2026/09/06 07:34:49.287, 3, NVIDIA L40S, 96 %, 38009 MiB
2026/09/06 07:34:59.288, 0, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:34:59.288, 1, NVIDIA L40S, 96 %, 37995 MiB
2026/09/06 07:34:59.288, 2, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:34:59.288, 3, NVIDIA L40S, 96 %, 38009 MiB
2026/09/06 07:35:09.289, 0, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:35:09.290, 1, NVIDIA L40S, 95 %, 37995 MiB
2026/09/06 07:35:09.290, 2, NVIDIA L40S, 98 %, 38043 MiB
2026/09/06 07:35:09.290, 3, NVIDIA L40S, 98 %, 38009 MiB
2026/09/06 07:35:19.291, 0, NVIDIA L40S, 96 %, 38155 MiB
2026/09/06 07:35:19.291, 1, NVIDIA L40S, 95 %, 37995 MiB
2026/09/06 07:35:19.291, 2, NVIDIA L40S, 98 %, 38043 MiB
2026/09/06 07:35:19.291, 3, NVIDIA L40S, 98 %, 38009 MiB
2026/09/06 07:35:29.292, 0, NVIDIA L40S, 98 %, 38155 MiB
2026/09/06 07:35:29.292, 1, NVIDIA L40S, 98 %, 37995 MiB
2026/09/06 07:35:29.292, 2, NVIDIA L40S, 90 %, 38043 MiB
2026/09/06 07:35:29.292, 3, NVIDIA L40S, 96 %, 38039 MiB
2026/09/06 07:35:39.293, 0, NVIDIA L40S, 96 %, 38209 MiB
2026/09/06 07:35:39.293, 1, NVIDIA L40S, 97 %, 37995 MiB
2026/09/06 07:35:39.293, 2, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:35:39.293, 3, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:35:49.294, 0, NVIDIA L40S, 0 %, 38209 MiB
2026/09/06 07:35:49.295, 1, NVIDIA L40S, 0 %, 37995 MiB
2026/09/06 07:35:49.295, 2, NVIDIA L40S, 96 %, 38043 MiB
2026/09/06 07:35:49.295, 3, NVIDIA L40S, 95 %, 38043 MiB
