timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 04:20:37.894, 0, NVIDIA L40S, 11 %, 0 MiB
2026/09/06 04:20:37.894, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:20:37.895, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:20:37.895, 3, NVIDIA L40S, 12 %, 0 MiB
2026/09/06 04:20:47.896, 0, NVIDIA L40S, 0 %, 635 MiB
2026/09/06 04:20:47.896, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:20:47.896, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:20:47.896, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:20:57.898, 0, NVIDIA L40S, 0 %, 6021 MiB
2026/09/06 04:20:57.898, 1, NVIDIA L40S, 65 %, 25335 MiB
2026/09/06 04:20:57.898, 2, NVIDIA L40S, 68 %, 25335 MiB
2026/09/06 04:20:57.898, 3, NVIDIA L40S, 62 %, 25335 MiB
2026/09/06 04:21:07.899, 0, NVIDIA L40S, 80 %, 7217 MiB
2026/09/06 04:21:07.899, 1, NVIDIA L40S, 64 %, 25341 MiB
2026/09/06 04:21:07.899, 2, NVIDIA L40S, 66 %, 25341 MiB
2026/09/06 04:21:07.899, 3, NVIDIA L40S, 67 %, 25341 MiB
2026/09/06 04:21:17.900, 0, NVIDIA L40S, 79 %, 7217 MiB
2026/09/06 04:21:17.900, 1, NVIDIA L40S, 68 %, 25341 MiB
2026/09/06 04:21:17.900, 2, NVIDIA L40S, 60 %, 25341 MiB
2026/09/06 04:21:17.900, 3, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 04:21:27.901, 0, NVIDIA L40S, 83 %, 7217 MiB
2026/09/06 04:21:27.901, 1, NVIDIA L40S, 32 %, 4033 MiB
2026/09/06 04:21:27.901, 2, NVIDIA L40S, 6 %, 2791 MiB
2026/09/06 04:21:27.901, 3, NVIDIA L40S, 2 %, 2691 MiB
2026/09/06 04:21:37.903, 0, NVIDIA L40S, 79 %, 7217 MiB
2026/09/06 04:21:37.903, 1, NVIDIA L40S, 31 %, 4033 MiB
2026/09/06 04:21:37.903, 2, NVIDIA L40S, 19 %, 2809 MiB
2026/09/06 04:21:37.903, 3, NVIDIA L40S, 19 %, 2809 MiB
2026/09/06 04:21:47.904, 0, NVIDIA L40S, 79 %, 7217 MiB
2026/09/06 04:21:47.904, 1, NVIDIA L40S, 24 %, 4033 MiB
2026/09/06 04:21:47.904, 2, NVIDIA L40S, 19 %, 2809 MiB
