timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/06 04:13:33.331, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:13:33.332, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:13:33.332, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:13:33.332, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:13:43.334, 0, NVIDIA L40S, 0 %, 633 MiB
2026/09/06 04:13:43.334, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:13:43.334, 2, NVIDIA L40S, 21 %, 5219 MiB
2026/09/06 04:13:43.334, 3, NVIDIA L40S, 6 %, 5219 MiB
2026/09/06 04:13:53.335, 0, NVIDIA L40S, 0 %, 6021 MiB
2026/09/06 04:13:53.335, 1, NVIDIA L40S, 69 %, 25335 MiB
2026/09/06 04:13:53.335, 2, NVIDIA L40S, 62 %, 25341 MiB
2026/09/06 04:13:53.335, 3, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 04:14:03.337, 0, NVIDIA L40S, 90 %, 7217 MiB
2026/09/06 04:14:03.337, 1, NVIDIA L40S, 74 %, 25341 MiB
2026/09/06 04:14:03.337, 2, NVIDIA L40S, 63 %, 25341 MiB
2026/09/06 04:14:03.337, 3, NVIDIA L40S, 71 %, 25341 MiB
2026/09/06 04:14:13.338, 0, NVIDIA L40S, 80 %, 7217 MiB
2026/09/06 04:14:13.338, 1, NVIDIA L40S, 70 %, 25341 MiB
2026/09/06 04:14:13.338, 2, NVIDIA L40S, 65 %, 25341 MiB
2026/09/06 04:14:13.338, 3, NVIDIA L40S, 69 %, 25341 MiB
2026/09/06 04:14:23.339, 0, NVIDIA L40S, 80 %, 7217 MiB
2026/09/06 04:14:23.339, 1, NVIDIA L40S, 25 %, 4033 MiB
2026/09/06 04:14:23.340, 2, NVIDIA L40S, 20 %, 2809 MiB
2026/09/06 04:14:23.340, 3, NVIDIA L40S, 18 %, 2809 MiB
2026/09/06 04:14:33.341, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:14:33.341, 1, NVIDIA L40S, 22 %, 4033 MiB
2026/09/06 04:14:33.341, 2, NVIDIA L40S, 18 %, 2809 MiB
2026/09/06 04:14:33.341, 3, NVIDIA L40S, 16 %, 2809 MiB
2026/09/06 04:14:43.341, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:14:43.342, 1, NVIDIA L40S, 30 %, 4033 MiB
2026/09/06 04:14:43.342, 2, NVIDIA L40S, 0 %, 2809 MiB
2026/09/06 04:14:43.342, 3, NVIDIA L40S, 7 %, 2809 MiB
2026/09/06 04:14:53.343, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:14:53.343, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:14:53.343, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:14:53.343, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/06 04:15:03.344, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:15:03.345, 1, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:15:03.345, 2, NVIDIA L40S, 0 %, 3 MiB
2026/09/06 04:15:03.345, 3, NVIDIA L40S, 0 %, 433 MiB
2026/09/06 04:15:13.346, 0, NVIDIA L40S, 0 %, 27931 MiB
2026/09/06 04:15:13.346, 1, NVIDIA L40S, 0 %, 27443 MiB
2026/09/06 04:15:13.346, 2, NVIDIA L40S, 0 %, 27443 MiB
2026/09/06 04:15:13.346, 3, NVIDIA L40S, 0 %, 27443 MiB
2026/09/06 04:15:23.347, 0, NVIDIA L40S, 51 %, 30979 MiB
2026/09/06 04:15:23.348, 1, NVIDIA L40S, 73 %, 30939 MiB
2026/09/06 04:15:23.348, 2, NVIDIA L40S, 33 %, 30945 MiB
2026/09/06 04:15:23.348, 3, NVIDIA L40S, 42 %, 30941 MiB
2026/09/06 04:15:33.349, 0, NVIDIA L40S, 74 %, 31021 MiB
2026/09/06 04:15:33.349, 1, NVIDIA L40S, 74 %, 30999 MiB
2026/09/06 04:15:33.349, 2, NVIDIA L40S, 74 %, 31023 MiB
2026/09/06 04:15:33.349, 3, NVIDIA L40S, 74 %, 31005 MiB
2026/09/06 04:15:43.350, 0, NVIDIA L40S, 72 %, 31039 MiB
2026/09/06 04:15:43.350, 1, NVIDIA L40S, 73 %, 30999 MiB
2026/09/06 04:15:43.350, 2, NVIDIA L40S, 77 %, 31027 MiB
2026/09/06 04:15:43.350, 3, NVIDIA L40S, 74 %, 31019 MiB
2026/09/06 04:15:53.351, 0, NVIDIA L40S, 59 %, 31059 MiB
2026/09/06 04:15:53.352, 1, NVIDIA L40S, 0 %, 30999 MiB
2026/09/06 04:15:53.352, 2, NVIDIA L40S, 74 %, 31027 MiB
2026/09/06 04:15:53.352, 3, NVIDIA L40S, 0 %, 31021 MiB
