timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/08 10:19:57.773, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:19:57.773, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/08 10:19:57.773, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/08 10:19:57.774, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/08 10:20:07.775, 0, NVIDIA L40S, 7 %, 1653 MiB
2026/09/08 10:20:07.775, 1, NVIDIA L40S, 19 %, 9615 MiB
2026/09/08 10:20:07.775, 2, NVIDIA L40S, 20 %, 9615 MiB
2026/09/08 10:20:07.775, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:20:17.776, 0, NVIDIA L40S, 98 %, 18431 MiB
2026/09/08 10:20:17.776, 1, NVIDIA L40S, 84 %, 18431 MiB
2026/09/08 10:20:17.776, 2, NVIDIA L40S, 97 %, 18431 MiB
2026/09/08 10:20:17.777, 3, NVIDIA L40S, 96 %, 18431 MiB
2026/09/08 10:20:27.778, 0, NVIDIA L40S, 90 %, 18431 MiB
2026/09/08 10:20:27.778, 1, NVIDIA L40S, 87 %, 18431 MiB
2026/09/08 10:20:27.778, 2, NVIDIA L40S, 86 %, 18431 MiB
2026/09/08 10:20:27.778, 3, NVIDIA L40S, 95 %, 18431 MiB
2026/09/08 10:20:37.779, 0, NVIDIA L40S, 84 %, 18431 MiB
2026/09/08 10:20:37.779, 1, NVIDIA L40S, 86 %, 18431 MiB
2026/09/08 10:20:37.779, 2, NVIDIA L40S, 92 %, 18431 MiB
2026/09/08 10:20:37.779, 3, NVIDIA L40S, 93 %, 18431 MiB
2026/09/08 10:20:47.780, 0, NVIDIA L40S, 0 %, 20795 MiB
2026/09/08 10:20:47.781, 1, NVIDIA L40S, 25 %, 21213 MiB
2026/09/08 10:20:47.781, 2, NVIDIA L40S, 3 %, 21127 MiB
2026/09/08 10:20:47.781, 3, NVIDIA L40S, 4 %, 20877 MiB
