timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/08 10:28:20.446, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:28:20.446, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:28:20.447, 2, NVIDIA L40S, 11 %, 0 MiB
2026/09/08 10:28:20.447, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:28:30.448, 0, NVIDIA L40S, 0 %, 18223 MiB
2026/09/08 10:28:30.452, 1, NVIDIA L40S, 0 %, 1 MiB
2026/09/08 10:28:30.452, 2, NVIDIA L40S, 0 %, 18223 MiB
2026/09/08 10:28:30.452, 3, NVIDIA L40S, 27 %, 2791 MiB
2026/09/08 10:28:40.453, 0, NVIDIA L40S, 87 %, 18511 MiB
2026/09/08 10:28:40.453, 1, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:40.453, 2, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:40.453, 3, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:50.454, 0, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:50.454, 1, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:50.454, 2, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:28:50.455, 3, NVIDIA L40S, 88 %, 18511 MiB
2026/09/08 10:29:00.455, 0, NVIDIA L40S, 96 %, 19619 MiB
2026/09/08 10:29:00.456, 1, NVIDIA L40S, 89 %, 18511 MiB
2026/09/08 10:29:00.456, 2, NVIDIA L40S, 94 %, 19619 MiB
2026/09/08 10:29:00.456, 3, NVIDIA L40S, 97 %, 18511 MiB
2026/09/08 10:29:10.457, 0, NVIDIA L40S, 97 %, 19647 MiB
2026/09/08 10:29:10.457, 1, NVIDIA L40S, 98 %, 19773 MiB
2026/09/08 10:29:10.457, 2, NVIDIA L40S, 97 %, 19657 MiB
2026/09/08 10:29:10.457, 3, NVIDIA L40S, 98 %, 19783 MiB
2026/09/08 10:29:20.458, 0, NVIDIA L40S, 97 %, 19693 MiB
2026/09/08 10:29:20.458, 1, NVIDIA L40S, 98 %, 19817 MiB
2026/09/08 10:29:20.459, 2, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:29:20.459, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:29:30.460, 0, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:29:30.460, 1, NVIDIA L40S, 98 %, 19821 MiB
2026/09/08 10:29:30.460, 2, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:29:30.460, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:29:40.461, 0, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:29:40.461, 1, NVIDIA L40S, 98 %, 19821 MiB
2026/09/08 10:29:40.461, 2, NVIDIA L40S, 94 %, 19697 MiB
2026/09/08 10:29:40.461, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:29:50.462, 0, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:29:50.463, 1, NVIDIA L40S, 98 %, 19821 MiB
2026/09/08 10:29:50.463, 2, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:29:50.463, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:30:00.464, 0, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:30:00.464, 1, NVIDIA L40S, 98 %, 19823 MiB
2026/09/08 10:30:00.464, 2, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:30:00.464, 3, NVIDIA L40S, 97 %, 19825 MiB
2026/09/08 10:30:10.465, 0, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:30:10.465, 1, NVIDIA L40S, 97 %, 19823 MiB
2026/09/08 10:30:10.465, 2, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:30:10.465, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:30:20.466, 0, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:30:20.467, 1, NVIDIA L40S, 97 %, 19823 MiB
2026/09/08 10:30:20.467, 2, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:30:20.467, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:30:30.468, 0, NVIDIA L40S, 98 %, 19697 MiB
2026/09/08 10:30:30.468, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:30:30.468, 2, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:30:30.468, 3, NVIDIA L40S, 98 %, 19825 MiB
2026/09/08 10:30:40.469, 0, NVIDIA L40S, 97 %, 19697 MiB
2026/09/08 10:30:40.469, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:30:40.469, 2, NVIDIA L40S, 97 %, 19699 MiB
2026/09/08 10:30:40.469, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:30:50.470, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:30:50.470, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/08 10:30:50.471, 2, NVIDIA L40S, 97 %, 19699 MiB
2026/09/08 10:30:50.471, 3, NVIDIA L40S, 0 %, 0 MiB
