timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 01:54:31.786, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 81.89 W, 34
2026/08/28 01:54:31.787, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 75.98 W, 38
2026/08/28 01:54:31.788, 2, NVIDIA RTX 6000 Ada Generation, 7 %, 2 MiB, 49140 MiB, 60.38 W, 36
2026/08/28 01:54:31.789, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 63.68 W, 38
2026/08/28 01:54:41.791, 0, NVIDIA RTX 6000 Ada Generation, 7 %, 19088 MiB, 49140 MiB, 83.65 W, 35
2026/08/28 01:54:41.791, 1, NVIDIA RTX 6000 Ada Generation, 28 %, 19640 MiB, 49140 MiB, 85.21 W, 39
2026/08/28 01:54:41.791, 2, NVIDIA RTX 6000 Ada Generation, 27 %, 19184 MiB, 49140 MiB, 77.51 W, 37
2026/08/28 01:54:41.791, 3, NVIDIA RTX 6000 Ada Generation, 28 %, 19268 MiB, 49140 MiB, 85.03 W, 39
2026/08/28 01:54:51.792, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25352 MiB, 49140 MiB, 277.58 W, 46
2026/08/28 01:54:51.793, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 25736 MiB, 49140 MiB, 237.51 W, 48
2026/08/28 01:54:51.793, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25590 MiB, 49140 MiB, 286.27 W, 47
2026/08/28 01:54:51.793, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25354 MiB, 49140 MiB, 279.60 W, 51
2026/08/28 01:55:01.794, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25576 MiB, 49140 MiB, 282.73 W, 50
2026/08/28 01:55:01.794, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25746 MiB, 49140 MiB, 279.23 W, 54
2026/08/28 01:55:01.794, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25590 MiB, 49140 MiB, 292.94 W, 53
2026/08/28 01:55:01.794, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 25536 MiB, 49140 MiB, 258.99 W, 55
2026/08/28 01:55:11.795, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25576 MiB, 49140 MiB, 288.20 W, 55
2026/08/28 01:55:11.795, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25746 MiB, 49140 MiB, 284.81 W, 59
2026/08/28 01:55:11.796, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25590 MiB, 49140 MiB, 297.88 W, 57
2026/08/28 01:55:11.796, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 25540 MiB, 49140 MiB, 289.25 W, 61
2026/08/28 01:55:21.797, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25948 MiB, 49140 MiB, 289.83 W, 59
2026/08/28 01:55:21.797, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25750 MiB, 49140 MiB, 288.38 W, 63
2026/08/28 01:55:21.797, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25730 MiB, 49140 MiB, 299.42 W, 61
2026/08/28 01:55:21.797, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 25540 MiB, 49140 MiB, 289.96 W, 65
2026/08/28 01:55:31.798, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25948 MiB, 49140 MiB, 294.18 W, 62
2026/08/28 01:55:31.799, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25750 MiB, 49140 MiB, 290.33 W, 67
2026/08/28 01:55:31.799, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25730 MiB, 49140 MiB, 299.05 W, 65
2026/08/28 01:55:31.799, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 25540 MiB, 49140 MiB, 275.12 W, 68
2026/08/28 01:55:41.800, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25948 MiB, 49140 MiB, 299.16 W, 65
2026/08/28 01:55:41.800, 1, NVIDIA RTX 6000 Ada Generation, 86 %, 25750 MiB, 49140 MiB, 250.18 W, 69
2026/08/28 01:55:41.800, 2, NVIDIA RTX 6000 Ada Generation, 86 %, 25732 MiB, 49140 MiB, 260.57 W, 66
2026/08/28 01:55:41.800, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25542 MiB, 49140 MiB, 299.47 W, 71
2026/08/28 01:55:51.802, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 25948 MiB, 49140 MiB, 299.06 W, 68
2026/08/28 01:55:51.802, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25760 MiB, 49140 MiB, 295.57 W, 72
2026/08/28 01:55:51.802, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25732 MiB, 49140 MiB, 300.01 W, 69
2026/08/28 01:55:51.802, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25542 MiB, 49140 MiB, 297.86 W, 74
2026/08/28 01:56:01.803, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 25948 MiB, 49140 MiB, 299.45 W, 70
2026/08/28 01:56:01.803, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 25760 MiB, 49140 MiB, 281.35 W, 74
2026/08/28 01:56:01.804, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25732 MiB, 49140 MiB, 299.62 W, 71
2026/08/28 01:56:01.804, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25542 MiB, 49140 MiB, 299.42 W, 76
2026/08/28 01:56:11.805, 0, NVIDIA RTX 6000 Ada Generation, 90 %, 25948 MiB, 49140 MiB, 271.63 W, 71
2026/08/28 01:56:11.805, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25760 MiB, 49140 MiB, 299.33 W, 76
2026/08/28 01:56:11.805, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25732 MiB, 49140 MiB, 299.51 W, 72
2026/08/28 01:56:11.805, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25542 MiB, 49140 MiB, 299.61 W, 78
2026/08/28 01:56:21.806, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 26308 MiB, 49140 MiB, 299.76 W, 73
2026/08/28 01:56:21.807, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25760 MiB, 49140 MiB, 299.48 W, 78
2026/08/28 01:56:21.807, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25792 MiB, 49140 MiB, 300.27 W, 74
2026/08/28 01:56:21.807, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25562 MiB, 49140 MiB, 299.84 W, 80
2026/08/28 01:56:31.808, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 26308 MiB, 49140 MiB, 299.56 W, 74
2026/08/28 01:56:31.808, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25760 MiB, 49140 MiB, 299.11 W, 80
2026/08/28 01:56:31.808, 2, NVIDIA RTX 6000 Ada Generation, 87 %, 25792 MiB, 49140 MiB, 275.05 W, 74
2026/08/28 01:56:31.808, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 25622 MiB, 49140 MiB, 299.23 W, 81
2026/08/28 01:56:41.810, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 26308 MiB, 49140 MiB, 299.24 W, 75
2026/08/28 01:56:41.810, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 25760 MiB, 49140 MiB, 299.50 W, 81
2026/08/28 01:56:41.810, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25792 MiB, 49140 MiB, 299.40 W, 75
2026/08/28 01:56:41.810, 3, NVIDIA RTX 6000 Ada Generation, 87 %, 25822 MiB, 49140 MiB, 274.27 W, 81
2026/08/28 01:56:51.811, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 26308 MiB, 49140 MiB, 299.52 W, 76
2026/08/28 01:56:51.811, 1, NVIDIA RTX 6000 Ada Generation, 83 %, 25820 MiB, 49140 MiB, 266.00 W, 81
2026/08/28 01:56:51.811, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 25888 MiB, 49140 MiB, 299.88 W, 76
2026/08/28 01:56:51.811, 3, NVIDIA RTX 6000 Ada Generation, 84 %, 25822 MiB, 49140 MiB, 274.78 W, 83
2026/08/28 01:57:01.813, 0, NVIDIA RTX 6000 Ada Generation, 97 %, 26308 MiB, 49140 MiB, 299.10 W, 77
