timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 06:52:34.626, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 100.41 W, 65
2026/08/28 06:52:34.627, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 87.61 W, 73
2026/08/28 06:52:34.628, 2, NVIDIA RTX 6000 Ada Generation, 1 %, 2 MiB, 49140 MiB, 70.00 W, 61
2026/08/28 06:52:34.629, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 68.64 W, 67
2026/08/28 06:52:44.631, 0, NVIDIA RTX 6000 Ada Generation, 23 %, 19548 MiB, 49140 MiB, 99.44 W, 61
2026/08/28 06:52:44.631, 1, NVIDIA RTX 6000 Ada Generation, 34 %, 23328 MiB, 49140 MiB, 103.20 W, 69
2026/08/28 06:52:44.631, 2, NVIDIA RTX 6000 Ada Generation, 14 %, 21848 MiB, 49140 MiB, 92.99 W, 58
2026/08/28 06:52:44.631, 3, NVIDIA RTX 6000 Ada Generation, 31 %, 20178 MiB, 49140 MiB, 102.21 W, 65
2026/08/28 06:52:54.633, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 261.82 W, 63
2026/08/28 06:52:54.633, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 39472 MiB, 49140 MiB, 266.39 W, 73
2026/08/28 06:52:54.633, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 39440 MiB, 49140 MiB, 264.16 W, 63
2026/08/28 06:52:54.633, 3, NVIDIA RTX 6000 Ada Generation, 92 %, 39452 MiB, 49140 MiB, 257.82 W, 68
2026/08/28 06:53:04.634, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39440 MiB, 49140 MiB, 254.57 W, 69
2026/08/28 06:53:04.634, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 39472 MiB, 49140 MiB, 264.58 W, 77
2026/08/28 06:53:04.634, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 265.54 W, 67
2026/08/28 06:53:04.634, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 39452 MiB, 49140 MiB, 257.10 W, 75
2026/08/28 06:53:14.636, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 266.87 W, 71
2026/08/28 06:53:14.636, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 39472 MiB, 49140 MiB, 261.06 W, 78
2026/08/28 06:53:14.636, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 39440 MiB, 49140 MiB, 263.02 W, 69
2026/08/28 06:53:14.636, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 39452 MiB, 49140 MiB, 258.74 W, 77
2026/08/28 06:53:24.637, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 39440 MiB, 49140 MiB, 258.96 W, 73
2026/08/28 06:53:24.637, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 39472 MiB, 49140 MiB, 262.15 W, 76
2026/08/28 06:53:24.637, 2, NVIDIA RTX 6000 Ada Generation, 95 %, 39440 MiB, 49140 MiB, 260.63 W, 68
2026/08/28 06:53:24.637, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 39452 MiB, 49140 MiB, 264.85 W, 79
2026/08/28 06:53:34.639, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 257.57 W, 74
2026/08/28 06:53:34.639, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 39472 MiB, 49140 MiB, 265.20 W, 79
2026/08/28 06:53:34.639, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 260.51 W, 70
2026/08/28 06:53:34.639, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 39452 MiB, 49140 MiB, 269.68 W, 81
2026/08/28 06:53:44.640, 0, NVIDIA RTX 6000 Ada Generation, 95 %, 39440 MiB, 49140 MiB, 255.08 W, 73
2026/08/28 06:53:44.640, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 39472 MiB, 49140 MiB, 268.75 W, 78
2026/08/28 06:53:44.641, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 262.17 W, 70
2026/08/28 06:53:44.641, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 273.29 W, 82
2026/08/28 06:53:54.642, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 258.56 W, 76
2026/08/28 06:53:54.642, 1, NVIDIA RTX 6000 Ada Generation, 93 %, 39472 MiB, 49140 MiB, 264.25 W, 79
2026/08/28 06:53:54.642, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 39440 MiB, 49140 MiB, 262.16 W, 72
2026/08/28 06:53:54.642, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 267.17 W, 83
2026/08/28 06:54:04.643, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 259.39 W, 76
2026/08/28 06:54:04.643, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 261.65 W, 80
2026/08/28 06:54:04.644, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 264.56 W, 72
2026/08/28 06:54:04.644, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 39452 MiB, 49140 MiB, 271.73 W, 83
2026/08/28 06:54:14.645, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 261.29 W, 77
2026/08/28 06:54:14.645, 1, NVIDIA RTX 6000 Ada Generation, 99 %, 39472 MiB, 49140 MiB, 264.88 W, 81
2026/08/28 06:54:14.645, 2, NVIDIA RTX 6000 Ada Generation, 98 %, 39440 MiB, 49140 MiB, 256.79 W, 75
2026/08/28 06:54:14.645, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 254.85 W, 84
2026/08/28 06:54:24.646, 0, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 262.16 W, 74
2026/08/28 06:54:24.646, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 39472 MiB, 49140 MiB, 270.05 W, 82
2026/08/28 06:54:24.647, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 265.55 W, 74
2026/08/28 06:54:24.647, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 278.17 W, 82
2026/08/28 06:54:34.648, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 257.87 W, 77
2026/08/28 06:54:34.648, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 39472 MiB, 49140 MiB, 261.22 W, 84
2026/08/28 06:54:34.648, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 39440 MiB, 49140 MiB, 270.77 W, 77
2026/08/28 06:54:34.648, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 39452 MiB, 49140 MiB, 270.73 W, 84
2026/08/28 06:54:44.649, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 261.70 W, 78
2026/08/28 06:54:44.650, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 39472 MiB, 49140 MiB, 264.87 W, 82
2026/08/28 06:54:44.650, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 271.62 W, 74
2026/08/28 06:54:44.650, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 39452 MiB, 49140 MiB, 262.99 W, 86
