timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/28 06:36:15.046, 0, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 97.98 W, 62
2026/08/28 06:36:15.047, 1, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 87.70 W, 71
2026/08/28 06:36:15.048, 2, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 81.94 W, 59
2026/08/28 06:36:15.049, 3, NVIDIA RTX 6000 Ada Generation, 0 %, 2 MiB, 49140 MiB, 64.66 W, 66
2026/08/28 06:36:25.051, 0, NVIDIA RTX 6000 Ada Generation, 25 %, 18678 MiB, 49140 MiB, 96.66 W, 59
2026/08/28 06:36:25.051, 1, NVIDIA RTX 6000 Ada Generation, 24 %, 21268 MiB, 49140 MiB, 101.66 W, 67
2026/08/28 06:36:25.051, 2, NVIDIA RTX 6000 Ada Generation, 24 %, 18918 MiB, 49140 MiB, 92.01 W, 56
2026/08/28 06:36:25.051, 3, NVIDIA RTX 6000 Ada Generation, 24 %, 18918 MiB, 49140 MiB, 99.70 W, 63
2026/08/28 06:36:35.052, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 263.21 W, 62
2026/08/28 06:36:35.053, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 39472 MiB, 49140 MiB, 262.06 W, 73
2026/08/28 06:36:35.053, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 256.15 W, 63
2026/08/28 06:36:35.088, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 39452 MiB, 49140 MiB, 265.88 W, 68
2026/08/28 06:36:45.089, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39440 MiB, 49140 MiB, 248.39 W, 65
2026/08/28 06:36:45.089, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 264.78 W, 71
2026/08/28 06:36:45.089, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 258.55 W, 63
2026/08/28 06:36:45.089, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 39452 MiB, 49140 MiB, 255.56 W, 72
2026/08/28 06:36:55.091, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 265.13 W, 69
2026/08/28 06:36:55.091, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 39472 MiB, 49140 MiB, 266.04 W, 74
2026/08/28 06:36:55.091, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 266.80 W, 67
2026/08/28 06:36:55.091, 3, NVIDIA RTX 6000 Ada Generation, 94 %, 39452 MiB, 49140 MiB, 261.63 W, 72
2026/08/28 06:37:05.092, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 264.98 W, 68
2026/08/28 06:37:05.092, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 256.04 W, 75
2026/08/28 06:37:05.093, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 264.52 W, 67
2026/08/28 06:37:05.093, 3, NVIDIA RTX 6000 Ada Generation, 93 %, 39452 MiB, 49140 MiB, 264.35 W, 77
2026/08/28 06:37:15.094, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 39440 MiB, 49140 MiB, 261.70 W, 68
2026/08/28 06:37:15.094, 1, NVIDIA RTX 6000 Ada Generation, 97 %, 39472 MiB, 49140 MiB, 265.84 W, 78
2026/08/28 06:37:15.094, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 39440 MiB, 49140 MiB, 257.38 W, 67
2026/08/28 06:37:15.094, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 273.73 W, 75
2026/08/28 06:37:25.095, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 268.37 W, 70
2026/08/28 06:37:25.095, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 258.56 W, 78
2026/08/28 06:37:25.095, 2, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 264.93 W, 67
2026/08/28 06:37:25.095, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 270.64 W, 79
2026/08/28 06:37:35.096, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 39440 MiB, 49140 MiB, 266.66 W, 70
2026/08/28 06:37:35.097, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 261.38 W, 76
2026/08/28 06:37:35.097, 2, NVIDIA RTX 6000 Ada Generation, 91 %, 39440 MiB, 49140 MiB, 268.94 W, 69
2026/08/28 06:37:35.097, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 262.58 W, 80
2026/08/28 06:37:45.098, 0, NVIDIA RTX 6000 Ada Generation, 92 %, 39440 MiB, 49140 MiB, 257.57 W, 72
2026/08/28 06:37:45.098, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 271.33 W, 78
2026/08/28 06:37:45.098, 2, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 265.00 W, 71
2026/08/28 06:37:45.098, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 275.87 W, 76
2026/08/28 06:37:55.099, 0, NVIDIA RTX 6000 Ada Generation, 94 %, 39440 MiB, 49140 MiB, 257.05 W, 73
2026/08/28 06:37:55.099, 1, NVIDIA RTX 6000 Ada Generation, 95 %, 39472 MiB, 49140 MiB, 259.49 W, 79
2026/08/28 06:37:55.099, 2, NVIDIA RTX 6000 Ada Generation, 97 %, 39440 MiB, 49140 MiB, 262.69 W, 72
2026/08/28 06:37:55.099, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 272.88 W, 79
2026/08/28 06:38:05.100, 0, NVIDIA RTX 6000 Ada Generation, 93 %, 39440 MiB, 49140 MiB, 273.66 W, 72
2026/08/28 06:38:05.101, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 270.35 W, 78
2026/08/28 06:38:05.101, 2, NVIDIA RTX 6000 Ada Generation, 93 %, 39440 MiB, 49140 MiB, 264.30 W, 72
2026/08/28 06:38:05.101, 3, NVIDIA RTX 6000 Ada Generation, 96 %, 39452 MiB, 49140 MiB, 273.27 W, 80
2026/08/28 06:38:15.102, 0, NVIDIA RTX 6000 Ada Generation, 98 %, 39440 MiB, 49140 MiB, 264.42 W, 73
2026/08/28 06:38:15.102, 1, NVIDIA RTX 6000 Ada Generation, 96 %, 39472 MiB, 49140 MiB, 267.69 W, 82
2026/08/28 06:38:15.102, 2, NVIDIA RTX 6000 Ada Generation, 96 %, 39440 MiB, 49140 MiB, 263.85 W, 72
2026/08/28 06:38:15.102, 3, NVIDIA RTX 6000 Ada Generation, 95 %, 39452 MiB, 49140 MiB, 269.55 W, 81
2026/08/28 06:38:25.103, 0, NVIDIA RTX 6000 Ada Generation, 91 %, 39440 MiB, 49140 MiB, 264.63 W, 72
2026/08/28 06:38:25.103, 1, NVIDIA RTX 6000 Ada Generation, 94 %, 39472 MiB, 49140 MiB, 268.72 W, 79
2026/08/28 06:38:25.103, 2, NVIDIA RTX 6000 Ada Generation, 89 %, 39440 MiB, 49140 MiB, 266.32 W, 71
2026/08/28 06:38:25.103, 3, NVIDIA RTX 6000 Ada Generation, 97 %, 39452 MiB, 49140 MiB, 268.77 W, 83
