timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 22:52:41.988, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:52:41.988, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 22:52:41.989, 2, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 22:52:41.989, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 22:52:51.990, 0, NVIDIA L40S, 19 %, 8079 MiB
2026/09/05 22:52:51.990, 1, NVIDIA L40S, 19 %, 8079 MiB
2026/09/05 22:52:51.990, 2, NVIDIA L40S, 13 %, 9871 MiB
2026/09/05 22:52:51.990, 3, NVIDIA L40S, 19 %, 8079 MiB
2026/09/05 22:53:01.991, 0, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 22:53:01.991, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 22:53:01.991, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 22:53:01.991, 3, NVIDIA L40S, 84 %, 26587 MiB
2026/09/05 22:53:11.992, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 22:53:11.993, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 22:53:11.993, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 22:53:11.993, 3, NVIDIA L40S, 88 %, 26589 MiB
2026/09/05 22:53:21.994, 0, NVIDIA L40S, 89 %, 26591 MiB
2026/09/05 22:53:21.994, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 22:53:21.994, 2, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 22:53:21.994, 3, NVIDIA L40S, 88 %, 26589 MiB
2026/09/05 22:53:31.995, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 22:53:31.995, 1, NVIDIA L40S, 89 %, 26589 MiB
2026/09/05 22:53:31.995, 2, NVIDIA L40S, 86 %, 26591 MiB
2026/09/05 22:53:31.995, 3, NVIDIA L40S, 88 %, 26589 MiB
2026/09/05 22:53:41.996, 0, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 22:53:41.997, 1, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 22:53:41.997, 2, NVIDIA L40S, 90 %, 26591 MiB
2026/09/05 22:53:41.997, 3, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 22:53:51.998, 0, NVIDIA L40S, 91 %, 26591 MiB
2026/09/05 22:53:51.998, 1, NVIDIA L40S, 91 %, 26589 MiB
2026/09/05 22:53:51.998, 2, NVIDIA L40S, 86 %, 26591 MiB
2026/09/05 22:53:51.998, 3, NVIDIA L40S, 90 %, 26589 MiB
2026/09/05 22:54:01.999, 0, NVIDIA L40S, 87 %, 26591 MiB
2026/09/05 22:54:01.999, 1, NVIDIA L40S, 88 %, 26589 MiB
2026/09/05 22:54:01.999, 2, NVIDIA L40S, 85 %, 26591 MiB
2026/09/05 22:54:02.000, 3, NVIDIA L40S, 88 %, 26589 MiB
