timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/05 21:55:00.557, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 21:55:00.558, 1, NVIDIA L40S, 12 %, 0 MiB
2026/09/05 21:55:00.558, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/05 21:55:00.558, 3, NVIDIA L40S, 11 %, 0 MiB
2026/09/05 21:55:10.560, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 21:55:10.560, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 21:55:10.560, 2, NVIDIA L40S, 0 %, 433 MiB
2026/09/05 21:55:10.560, 3, NVIDIA L40S, 0 %, 3 MiB
2026/09/05 21:55:20.561, 0, NVIDIA L40S, 16 %, 27143 MiB
2026/09/05 21:55:20.561, 1, NVIDIA L40S, 10 %, 27143 MiB
2026/09/05 21:55:20.561, 2, NVIDIA L40S, 23 %, 25703 MiB
2026/09/05 21:55:20.561, 3, NVIDIA L40S, 0 %, 20259 MiB
2026/09/05 21:55:30.562, 0, NVIDIA L40S, 95 %, 20385 MiB
2026/09/05 21:55:30.563, 1, NVIDIA L40S, 93 %, 20363 MiB
2026/09/05 21:55:30.563, 2, NVIDIA L40S, 93 %, 20397 MiB
2026/09/05 21:55:30.563, 3, NVIDIA L40S, 93 %, 20373 MiB
2026/09/05 21:55:40.564, 0, NVIDIA L40S, 95 %, 20407 MiB
2026/09/05 21:55:40.564, 1, NVIDIA L40S, 97 %, 20365 MiB
2026/09/05 21:55:40.564, 2, NVIDIA L40S, 91 %, 20397 MiB
2026/09/05 21:55:40.564, 3, NVIDIA L40S, 94 %, 20385 MiB
2026/09/05 21:55:50.565, 0, NVIDIA L40S, 95 %, 20409 MiB
2026/09/05 21:55:50.565, 1, NVIDIA L40S, 94 %, 20365 MiB
2026/09/05 21:55:50.565, 2, NVIDIA L40S, 97 %, 20407 MiB
2026/09/05 21:55:50.565, 3, NVIDIA L40S, 94 %, 20395 MiB
2026/09/05 21:56:00.566, 0, NVIDIA L40S, 94 %, 20409 MiB
2026/09/05 21:56:00.566, 1, NVIDIA L40S, 98 %, 20407 MiB
2026/09/05 21:56:00.567, 2, NVIDIA L40S, 93 %, 20407 MiB
2026/09/05 21:56:00.567, 3, NVIDIA L40S, 93 %, 20395 MiB
2026/09/05 21:56:10.567, 0, NVIDIA L40S, 94 %, 20421 MiB
2026/09/05 21:56:10.567, 1, NVIDIA L40S, 94 %, 20407 MiB
2026/09/05 21:56:10.568, 2, NVIDIA L40S, 93 %, 20407 MiB
2026/09/05 21:56:10.568, 3, NVIDIA L40S, 93 %, 20395 MiB
2026/09/05 21:56:20.569, 0, NVIDIA L40S, 97 %, 20421 MiB
2026/09/05 21:56:20.569, 1, NVIDIA L40S, 0 %, 20407 MiB
2026/09/05 21:56:20.569, 2, NVIDIA L40S, 95 %, 20433 MiB
2026/09/05 21:56:20.569, 3, NVIDIA L40S, 0 %, 20395 MiB
