timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/09/07 20:20:33.338, 0, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 20:20:33.338, 1, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 20:20:33.339, 2, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 20:20:33.339, 3, NVIDIA L40S, 0 %, 0 MiB
2026/09/07 20:20:48.340, 0, NVIDIA L40S, 0 %, 16791 MiB
2026/09/07 20:20:48.340, 1, NVIDIA L40S, 26 %, 9725 MiB
2026/09/07 20:20:48.340, 2, NVIDIA L40S, 24 %, 5853 MiB
2026/09/07 20:20:48.340, 3, NVIDIA L40S, 0 %, 20981 MiB
2026/09/07 20:21:03.341, 0, NVIDIA L40S, 0 %, 3 MiB
2026/09/07 20:21:03.341, 1, NVIDIA L40S, 0 %, 3 MiB
2026/09/07 20:21:03.341, 2, NVIDIA L40S, 97 %, 21435 MiB
2026/09/07 20:21:03.341, 3, NVIDIA L40S, 97 %, 21437 MiB
